N,count,degree,dim,error_c,interaction_only,lower,max,max3,mean,median,min,min3,number,order,repeat,test,upper
1,10,2,5,0,False,0.00022903596982359886,0.0003682011738419533,0.00023576617240905762,0.00024528619833290576,0.00023070047609508038,0.00022903596982359886,0.0002302839420735836,1,C,10,PF-0.20.2,0.0003257518782181826
1,10,2,5,0,False,0.0002672560513019562,0.0002849414013326168,0.00027085980400443077,0.00027145538479089737,0.00026986002922058105,0.0002672560513019562,0.0002696570008993149,1,C,10,PF-DEV,0.00028133799748680804
1,10,2,5,0,False,0.00022637471556663513,0.00024083629250526428,0.0002309638075530529,0.00023012510500848294,0.0002282019704580307,0.00022637471556663513,0.00022744527086615562,1,F,10,PF-0.20.2,0.0002387321531113359
1,10,2,5,0,False,0.00026598991826176643,0.0002792850136756897,0.00027032988145947456,0.0002698092255741358,0.00026865280233323574,0.00026598991826176643,0.0002681012265384197,1,F,10,PF-DEV,0.00027681217859026566
10,10,2,5,0,False,0.0002508419565856457,0.00026647280901670456,0.0002538650296628475,0.0002536678686738014,0.0002521213609725237,0.0002508419565856457,0.00025143008679151535,1,C,10,PF-0.20.2,0.00026239917091650314
10,10,2,5,0,False,0.0002950858324766159,0.0003138100728392601,0.00029984163120388985,0.000299843167886138,0.00029705767519772053,0.0002950858324766159,0.00029662204906344414,1,C,10,PF-DEV,0.0003118020806099225
10,10,2,5,0,False,0.0002495977096259594,0.0002665300853550434,0.00025514140725135803,0.0002535887528210878,0.00025189598090946674,0.0002495977096259594,0.0002509099431335926,1,F,10,PF-0.20.2,0.0002629187818756357
10,10,2,5,0,False,0.0002949461340904236,0.0003076540306210518,0.00030168378725647926,0.00030003320425748826,0.00029972242191433907,0.0002949461340904236,0.0002983571030199528,1,F,10,PF-DEV,0.0003076540306210518
100,10,2,5,0,False,0.00027033407241106033,0.00029002921655774117,0.0002770582213997841,0.0002751367166638374,0.0002729864791035652,0.00027033407241106033,0.0002711853012442589,1,C,10,PF-0.20.2,0.00028643455825007487
100,10,2,5,0,False,0.0003225286491215229,0.0003353091888129711,0.00032965466380119324,0.0003276469651609659,0.0003277014475315809,0.0003225286491215229,0.0003259326331317425,1,C,10,PF-DEV,0.0003349996760835226
100,10,2,5,0,False,0.00026649562641978264,0.0002811192534863949,0.0002696891315281391,0.0002699621953070164,0.0002686094958335161,0.00026649562641978264,0.00026809191331267357,1,F,10,PF-0.20.2,0.0002779116505324953
100,10,2,5,0,False,0.00031084194779396057,0.0003256569616496563,0.0003189370036125183,0.00031610908918082713,0.00031502218917012215,0.00031084194779396057,0.00031341006979346275,1,F,10,PF-DEV,0.00032552809596508647
1000,10,2,5,0,False,0.0004206154174064225,0.0004602358676493168,0.0004562223330140114,0.0004484137985855341,0.0004548474680632353,0.00041576288640499115,0.00045430799946188927,1,C,10,PF-0.20.2,0.0004602358676493168
1000,10,2,5,0,False,0.000474581029266119,0.0004983278922736645,0.0004795040003955364,0.00047922758385539056,0.0004764473997056484,0.000474581029266119,0.00047590117901563644,1,C,10,PF-DEV,0.0004926328233693486
1000,10,2,5,0,False,0.00041432492434978485,0.00042690616101026535,0.00041901692748069763,0.0004179767332971096,0.0004172110930085182,0.00041432492434978485,0.0004162471741437912,1,F,10,PF-0.20.2,0.0004250462844005588
1000,10,2,5,0,False,0.0004344838671386242,0.00045242300257086754,0.0004402231425046921,0.0004385570529848337,0.00043630460277199745,0.0004344838671386242,0.00043600331991910934,1,F,10,PF-DEV,0.0004484288943676254
10000,10,2,5,0,False,0.0016472169532549875,0.002048156224191189,0.001978997141122818,0.0019173720851540566,0.0019727270118892193,0.001643788069486618,0.00197034515440464,1,C,10,PF-0.20.2,0.002048156224191189
10000,10,2,5,0,False,0.0017821472138166428,0.001854735892266035,0.0018179360777139664,0.0018059493508189917,0.00180452736094594,0.0017821472138166428,0.0017920448444783688,1,C,10,PF-DEV,0.00184812522936064
