test,N,n_jobs,dim,repeat,number,min,max,mean,lower,upper,count,median,error_c
joblib,10000,2,10,3,1,8.482316684210673,10.703834404004738,9.348684495703006,8.482316684210673,10.703834404004738,3,8.85990239889361,0
memory,10000,2,10,3,1,6.824329215101898,8.355953022837639,7.744444623977567,6.824329215101898,8.355953022837639,3,8.053051633993164,0
no,10000,2,10,3,1,8.619986603036523,10.44810458412394,9.547070425081378,8.619986603036523,10.44810458412394,3,9.57312008808367,0
joblib,10000,3,10,3,1,9.419926221016794,10.881863408954814,9.937872523985183,9.419926221016794,10.881863408954814,3,9.511827941983938,0
memory,10000,3,10,3,1,8.658352703088894,10.611542494036257,9.531756300091123,8.658352703088894,10.611542494036257,3,9.325373703148216,0
no,10000,3,10,3,1,10.416410400997847,11.979342879960313,10.946165112002442,10.416410400997847,11.979342879960313,3,10.442742055049166,0
joblib,20000,1,10,3,1,27.955271272920072,29.945158215938136,28.84915180861329,27.955271272920072,29.945158215938136,3,28.647025936981663,0
memory,20000,1,10,3,1,23.03128312388435,27.417839171830565,25.26083751123709,23.03128312388435,27.417839171830565,3,25.333390237996355,0
no,20000,1,10,3,1,30.0399117290508,30.606784804956988,30.394595425731193,30.0399117290508,30.606784804956988,3,30.53708974318579,0
joblib,20000,2,10,3,1,24.77420439803973,32.98445440479554,28.973036045286182,24.77420439803973,32.98445440479554,3,29.16044933302328,0
memory,20000,2,10,3,1,22.216788082150742,30.17969398596324,27.35037176931898,22.216788082150742,30.17969398596324,3,29.65463323984295,0
no,20000,2,10,3,1,28.56393196899444,34.338595647830516,30.939994163888816,28.56393196899444,34.338595647830516,3,29.917454874841496,0
joblib,20000,3,10,3,1,21.280381358927116,29.849920355016366,25.910488325636834,21.280381358927116,29.849920355016366,3,26.60116326296702,0
memory,20000,3,10,3,1,25.574068875052035,31.18771812110208,27.684754999044042,25.574068875052035,31.18771812110208,3,26.292478000978008,0
no,20000,3,10,3,1,22.36298340698704,29.94552950398065,26.193195587722585,22.36298340698704,29.94552950398065,3,26.27107385220006,0
joblib,1000,1,20,3,1,1.9603266201447695,2.157070721965283,2.0781609107119343,1.9603266201447695,2.157070721965283,3,2.11708539002575,0
memory,1000,1,20,3,1,1.4245809158310294,1.482690020930022,1.4538170398833852,1.4245809158310294,1.482690020930022,3,1.454180182889104,0
no,1000,1,20,3,1,2.3280478280503303,2.642137741902843,2.512828377308324,2.3280478280503303,2.642137741902843,3,2.5682995619717985,0
joblib,1000,2,20,3,1,2.155081826960668,2.3267278380226344,2.2635606836217144,2.155081826960668,2.3267278380226344,3,2.308872385881841,0
memory,1000,2,20,3,1,1.2061562309972942,1.443115351954475,1.3131793896512438,1.2061562309972942,1.443115351954475,3,1.2902665860019624,0
no,1000,2,20,3,1,2.2335001970641315,2.5371159338392317,2.389794514980167,2.2335001970641315,2.5371159338392317,3,2.3987674140371382,0
joblib,1000,3,20,3,1,1.9808433300349861,2.135661158943549,2.0366094283138714,1.9808433300349861,2.135661158943549,3,1.9933237959630787,0
memory,1000,3,20,3,1,1.2420676429755986,1.748774723848328,1.544562180293724,1.2420676429755986,1.748774723848328,3,1.6428441740572453,0
no,1000,3,20,3,1,2.1993716422002763,2.791240344988182,2.5558348483561226,2.1993716422002763,2.791240344988182,3,2.67689255787991,0
joblib,10000,1,20,3,1,10.540270403027534,11.913310070056468,11.240449659060687,10.540270403027534,11.913310070056468,3,11.267768504098058,0
memory,10000,1,20,3,1,8.55898301396519,11.035702516091987,9.688029866665602,8.55898301396519,11.035702516091987,3,9.469404069939628,0
no,10000,1,20,3,1,12.747354269959033,14.30528165702708,13.394235161676383,12.747354269959033,14.30528165702708,3,13.130069558043033,0
