N,count,dim,error_c,lower,max,max3,mean,median,min,min3,number,repeat,test,upper
10,100,30,0,0.0002792119048535824,0.0004072650335729122,0.00039187073707580566,0.00032724032178521156,0.0003162338398396969,0.0002792119048535824,0.0003039231523871422,1,100,SGD-ONLY,0.0003754546651882874
10,100,30,0,0.006650326773524284,0.006915389094501734,0.006861445959657431,0.006738391034305096,0.006734885973855853,0.006650326773524284,0.006671018898487091,1,100,SGD-SKL,0.006845789778957058
10,100,30,0,0.00041594402864575386,0.0004857960157096386,0.0004628109745681286,0.000425281897187233,0.0004216174129396677,0.00041594402864575386,0.000417306087911129,1,100,SGD-FAST,0.00044769270273628054
10,100,30,0,0.00658067362383008,0.007075903005897999,0.007071527186781168,0.0068068139208480715,0.006785630015656352,0.00658067362383008,0.006588058080524206,1,100,SGD-SLOW,0.0070658419326808
100,100,30,0,0.00036818115040659904,0.000685766339302063,0.0006720870733261108,0.00047217182349413634,0.0004677204415202141,0.00036818115040659904,0.0003718188963830471,1,100,SGD-ONLY,0.0006102482875886149
100,100,30,0,0.006994212046265602,0.007563733030110598,0.007530316710472107,0.007189795938320458,0.007117574103176594,0.006994212046265602,0.007025791797786951,1,100,SGD-SKL,0.007488076282930289
100,100,30,0,0.0006713923066854477,0.0007452531717717648,0.0007286421023309231,0.0006911234511062503,0.0006873852107673883,0.0006713923066854477,0.0006794468499720097,1,100,SGD-FAST,0.0007159112703956439
100,100,30,0,0.007185304071754217,0.007758155930787325,0.007624479942023754,0.00731834604870528,0.007288450375199318,0.007185304071754217,0.007199204992502928,1,100,SGD-SLOW,0.007550543479673183
1000,100,30,0,0.0014949652712801442,0.0018405681475996971,0.0017252499237656593,0.001598538332618773,0.0015897934790700674,0.0014947568997740746,0.0015103318728506565,1,100,SGD-ONLY,0.001702111393957402
1000,100,30,0,0.014456858858466148,0.015464777126908302,0.015324497129768133,0.014841278726235032,0.014822173165157437,0.014456858858466148,0.014506675768643618,1,100,SGD-SKL,0.015337853841879242
1000,100,30,0,0.003272620029747486,0.004759476985782385,0.004220434930175543,0.0035782126570120453,0.0035546403378248215,0.003272620029747486,0.0032944181002676487,1,100,SGD-FAST,0.004044463524525894
1000,100,30,0,0.016353091690689325,0.01732217986136675,0.017076191026717424,0.016624583462253213,0.016579364892095327,0.016353091690689325,0.01644359016790986,1,100,SGD-SLOW,0.016934441848818028
