lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1000,1,5,20,10,0.00018608779646456242,0.00021936511620879173,0.00018644309602677822,0.00018820492550730705,0.0001896078116260469,0.00018608779646456242,0.00020574617766643975,20,0.00018704449757933617,0
npy,1000,1,5,20,10,9.535602293908596e-05,0.00011139409616589546,9.564589709043503e-05,0.00010174186900258064,9.979779133573174e-05,9.535602293908596e-05,0.00010829993136603214,20,0.00010049657430499792,0
ort,10000,1,5,20,10,0.0003208040725439787,0.00036374409683048725,0.0003219491336494684,0.00034373183734714985,0.00032850082498043777,0.0003208040725439787,0.00035207867139261514,20,0.000323233543895185,0
npy,10000,1,5,20,10,0.00020092399790883064,0.0002526589669287205,0.00020423810929059982,0.00023271399550139904,0.0002141869394108653,0.00020092399790883064,0.00023926325615455528,20,0.00021012010984122753,0
ort,1,1,10,20,10,0.00019753212109208107,0.00024283514358103275,0.0001993959303945303,0.00021299603395164013,0.0002075201366096735,0.00019753212109208107,0.00022925238248179677,20,0.00020584743469953537,0
npy,1,1,10,20,10,0.00021665100939571857,0.000244789058342576,0.00021958001889288425,0.00022528204135596752,0.00022262518759816886,0.00021665100939571857,0.00023349159972160024,20,0.00022171065211296082,0
ort,10,1,10,20,10,0.00019850395619869232,0.00022557307966053486,0.0001990899909287691,0.00020287116058170795,0.00020229688379913568,0.00019850395619869232,0.0002174188751978409,20,0.00019963702652603388,0
npy,10,1,10,20,10,0.00012713298201560974,0.00015846500173211098,0.0001282400917261839,0.0001303649041801691,0.00013033996801823378,0.00012713298201560974,0.0001430935251922479,20,0.00012887956108897924,0
ort,100,1,10,20,10,0.00019928393885493279,0.00022727716714143753,0.0002000550739467144,0.0002019619569182396,0.0002032724558375776,0.00019928393885493279,0.00021854203675492255,20,0.00020061491522938013,0
npy,100,1,10,20,10,0.00012818188406527042,0.0001435179729014635,0.0001299020368605852,0.0001345491036772728,0.00013195917708799242,0.00012818188406527042,0.00013854812958351964,20,0.00013117666821926832,0
ort,1000,1,10,20,10,0.0002247330266982317,0.00026188697665929794,0.0002254578284919262,0.0002292189747095108,0.0002292413730174303,0.0002247330266982317,0.00024642802265928713,20,0.00022622698452323675,0
npy,1000,1,10,20,10,0.00016888882964849472,0.00017464300617575645,0.00017057894729077816,0.00017234403640031815,0.00017146170139312745,0.00016914780527410212,0.00017377559751215277,20,0.00017156661488115788,0
ort,10000,1,10,20,10,0.00044724089093506336,0.0004996999632567167,0.00044874916784465313,0.00047381804324686527,0.00045472964411601423,0.00044724089093506336,0.00048134347496121225,20,0.0004494370659813285,0
npy,10000,1,10,20,10,0.0003550120163708925,0.00039568799547851086,0.00035962113179266453,0.00037963991053402424,0.00036511723883450033,0.0003550120163708925,0.00038416091602303426,20,0.00036205491051077843,0
ort,1,1,50,20,10,0.00044741807505488396,0.0005233851261436939,0.00044800504110753536,0.0004708999767899513,0.00045819018268957736,0.00044741807505488396,0.000491604772145931,20,0.00044916896149516106,0
