lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_ort,upper_diff_ort,lower_diff_ort,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_classes_.shape,fit_n_classes_,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.max|tree_.max_depth,fit_estimators_.classes_.shape,fit_estimators_.n_features_,fit_estimators_.sum|tree_.node_count,fit_estimators_.sum|tree_.leave_count,fit_class_count_.shape,fit_feature_count_.shape,fit_feature_log_prob_.shape,fit_class_log_prior_.shape,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.leave_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.node_count,fit_objective,fit_n_classes,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_intercept_.shape,fit_n_iter_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
skl,20000,breast_cancer,-1,SVC-ZM,True,5,1,0.09741668310016394,0.09766903333365917,0.09752322304993868,0.09741668310016394,0.09766903333365917,5,0.0975088207051158,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,20000,breast_cancer,-1,SVC-ZM,True,5,1,0.029875432141125202,0.03007387090474367,0.029934380389750003,0.029875432141125202,0.03007387090474367,5,0.029906918294727802,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,20000,breast_cancer,-1,SVC-ZM,True,5,1,0.02992608491331339,0.030230876989662647,0.030115013010799885,0.02992608491331339,0.030230876989662647,5,0.030140266753733158,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,50000,breast_cancer,-1,SVC-ZM,True,5,1,0.27415227331221104,0.2749520456418395,0.2744186932221055,0.27415227331221104,0.2749520456418395,5,0.2742681736126542,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,50000,breast_cancer,-1,SVC-ZM,True,5,1,0.24421275965869427,0.24452546145766973,0.24433447364717722,0.24421275965869427,0.24452546145766973,5,0.24427957087755203,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,50000,breast_cancer,-1,SVC-ZM,True,5,1,0.0700227739289403,0.0763069074600935,0.07357896119356155,0.0700227739289403,0.0763069074600935,5,0.0756364380940795,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,50000,breast_cancer,-1,SVC-ZM,True,5,1,0.07281319610774517,0.07587351091206074,0.07495311945676804,0.07281319610774517,0.07587351091206074,5,0.07522926572710276,2.1305705699692368e-07,2.1305705699692368e-07,2.1305705699692368e-07,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,1.8917790547967606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,1,breast_cancer,-1,XGB-ZM,False,5,1,2.5780871510505676e-05,0.000101456418633461,4.557054489850998e-05,2.5780871510505676e-05,0.00010124360668164895,5,3.079138696193695e-05,6.556510925292969e-08,1.1920928955078125e-07,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,1,breast_cancer,-1,XGB-ZM,False,5,1,9.60715115070343e-05,0.0002332320436835289,0.0001253897324204445,9.60715115070343e-05,0.00023119665489253254,5,9.826291352510452e-05,6.556510925292969e-08,1.1920928955078125e-07,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,1,breast_cancer,-1,XGB-ZM,False,5,1,2.81408429145813e-05,6.898399442434311e-05,3.8311071693897245e-05,2.81408429145813e-05,6.861982407202504e-05,5,3.0866824090480804e-05,6.556510925292969e-08,1.1920928955078125e-07,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,1,breast_cancer,-1,XGB-ZM,False,5,1,1.7974525690078735e-05,3.498978912830353e-05,2.3222528398036957e-05,1.7974525690078735e-05,3.498978912830353e-05,5,2.0407140254974365e-05,6.556510925292969e-08,1.1920928955078125e-07,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,2.384185791015625e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,2,breast_cancer,-1,XGB-ZM,False,5,1,3.0149705708026886e-05,5.058757960796356e-05,3.907792270183563e-05,3.0149705708026886e-05,5.058757960796356e-05,5,3.8467347621917725e-05,5.010515451431274e-08,5.960464477539063e-08,1.210719347000122e-08,3.818422555923462e-08,5.960464477539063e-08,0.0,3.818422555923462e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,2,breast_cancer,-1,XGB-ZM,False,5,1,9.573251008987427e-05,0.0001147054135799408,0.00010294783860445022,9.573251008987427e-05,0.0001147054135799408,5,0.00010156817734241486,5.010515451431274e-08,5.960464477539063e-08,1.210719347000122e-08,3.818422555923462e-08,5.960464477539063e-08,0.0,3.818422555923462e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,2,breast_cancer,-1,XGB-ZM,False,5,1,3.503821790218353e-05,4.762131720781326e-05,4.038214683532715e-05,3.503821790218353e-05,4.762131720781326e-05,5,4.0318816900253296e-05,5.010515451431274e-08,5.960464477539063e-08,1.210719347000122e-08,3.818422555923462e-08,5.960464477539063e-08,0.0,3.818422555923462e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,2,breast_cancer,-1,XGB-ZM,False,5,1,2.4149194359779358e-05,4.3514184653759e-05,3.3855438232421875e-05,2.4149194359779358e-05,4.3514184653759e-05,5,3.471784293651581e-05,5.010515451431274e-08,5.960464477539063e-08,1.210719347000122e-08,3.818422555923462e-08,5.960464477539063e-08,0.0,3.818422555923462e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,5,breast_cancer,-1,XGB-ZM,False,5,1,5.131028592586517e-05,6.464589387178421e-05,5.544871091842651e-05,5.131028592586517e-05,6.464589387178421e-05,5,5.4622069001197815e-05,8.454080671072007e-08,1.1920928955078125e-07,5.471520125865936e-09,2.859160304069519e-08,5.960464477539063e-08,0.0,2.859160304069519e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,5,breast_cancer,-1,XGB-ZM,False,5,1,0.00010619219392538071,0.00012204516679048538,0.00011097751557826996,0.00010619219392538071,0.00012204516679048538,5,0.00010991748422384262,8.454080671072007e-08,1.1920928955078125e-07,5.471520125865936e-09,2.859160304069519e-08,5.960464477539063e-08,0.0,2.859160304069519e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,5,breast_cancer,-1,XGB-ZM,False,5,1,5.740579217672348e-05,7.028132677078247e-05,6.219893693923951e-05,5.740579217672348e-05,7.028132677078247e-05,5,6.054900586605072e-05,8.454080671072007e-08,1.1920928955078125e-07,5.471520125865936e-09,2.859160304069519e-08,5.960464477539063e-08,0.0,2.859160304069519e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,5,breast_cancer,-1,XGB-ZM,False,5,1,4.659965634346008e-05,5.348213016986847e-05,4.937741905450821e-05,4.659965634346008e-05,5.348213016986847e-05,5,4.818849265575409e-05,8.454080671072007e-08,1.1920928955078125e-07,5.471520125865936e-09,2.859160304069519e-08,5.960464477539063e-08,0.0,2.859160304069519e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,10,breast_cancer,-1,XGB-ZM,False,5,1,7.772352546453476e-05,9.411200881004333e-05,8.41451808810234e-05,7.772352546453476e-05,9.411200881004333e-05,5,8.327048271894455e-05,7.152557373046875e-08,1.1920928955078125e-07,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,10,breast_cancer,-1,XGB-ZM,False,5,1,0.00011829286813735962,0.00015091244131326675,0.00013092830777168275,0.00011829286813735962,0.00015091244131326675,5,0.00012652110308408737,7.152557373046875e-08,1.1920928955078125e-07,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,10,breast_cancer,-1,XGB-ZM,False,5,1,8.747633546590805e-05,0.00011240504682064056,9.902417659759521e-05,8.747633546590805e-05,0.00011240504682064056,5,9.83215868473053e-05,7.152557373046875e-08,1.1920928955078125e-07,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,10,breast_cancer,-1,XGB-ZM,False,5,1,7.339660078287125e-05,8.390191942453384e-05,7.982943207025528e-05,7.339660078287125e-05,8.390191942453384e-05,5,8.005183190107346e-05,7.152557373046875e-08,1.1920928955078125e-07,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,4.1723251342773435e-08,5.960464477539063e-08,0.0,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,20,breast_cancer,-1,XGB-ZM,False,5,1,0.00012993253767490387,0.0001510242000222206,0.000138150155544281,0.00012993253767490387,0.0001510242000222206,5,0.00013543199747800827,9.5367431640625e-08,1.1920928955078125e-07,5.960464477539063e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,20,breast_cancer,-1,XGB-ZM,False,5,1,0.0001426301896572113,0.00016318541020154953,0.00015060007572174073,0.0001426301896572113,0.00016318541020154953,5,0.00014797504991292953,9.5367431640625e-08,1.1920928955078125e-07,5.960464477539063e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,20,breast_cancer,-1,XGB-ZM,False,5,1,0.0001505305990576744,0.00018974579870700836,0.00016873199492692948,0.0001505305990576744,0.00018974579870700836,5,0.00016584154218435287,9.5367431640625e-08,1.1920928955078125e-07,5.960464477539063e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,20,breast_cancer,-1,XGB-ZM,False,5,1,0.0001330152153968811,0.00015112385153770447,0.0001435607671737671,0.0001330152153968811,0.00015112385153770447,5,0.0001443633809685707,9.5367431640625e-08,1.1920928955078125e-07,5.960464477539063e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,4.7124922275543214e-08,5.960464477539063e-08,2.7008354663848877e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,50,breast_cancer,-1,XGB-ZM,False,5,1,0.00029026344418525696,0.00031381193548440933,0.0003007343038916588,0.00029026344418525696,0.00031381193548440933,5,0.0002943770959973335,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,50,breast_cancer,-1,XGB-ZM,False,5,1,0.0002065291628241539,0.00023452285677194595,0.00021693557500839232,0.0002065291628241539,0.00023452285677194595,5,0.00021425727754831314,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,50,breast_cancer,-1,XGB-ZM,False,5,1,0.0003270180895924568,0.00040452741086483,0.00035040099173784257,0.0003270180895924568,0.00040452741086483,5,0.00033834949135780334,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,50,breast_cancer,-1,XGB-ZM,False,5,1,0.00031127966940402985,0.00033724401146173477,0.000320715457201004,0.00031127966940402985,0.00033724401146173477,5,0.00031444989144802094,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,100,breast_cancer,-1,XGB-ZM,False,5,1,0.0005528246983885765,0.0005810102447867393,0.0005615916103124619,0.0005528246983885765,0.0005810102447867393,5,0.0005580540746450424,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,100,breast_cancer,-1,XGB-ZM,False,5,1,0.0003205714747309685,0.0003516869619488716,0.00032834857702255247,0.0003205714747309685,0.00035132843122650734,5,0.0003235870972275734,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,100,breast_cancer,-1,XGB-ZM,False,5,1,0.0006231311708688736,0.0007265247404575348,0.0006500354036688804,0.0006231311708688736,0.0007265247404575348,5,0.0006283679977059364,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,100,breast_cancer,-1,XGB-ZM,False,5,1,0.0005999282002449036,0.0006425082683563232,0.0006184263154864311,0.0005999282002449036,0.0006425082683563232,5,0.0006150351837277412,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,200,breast_cancer,-1,XGB-ZM,False,5,1,0.00106707401573658,0.0011085635051131248,0.0010825499892234802,0.00106707401573658,0.0011085635051131248,5,0.0010726125910878181,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
