lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_ort,upper_diff_ort,lower_diff_ort,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_classes_.shape,fit_n_classes_,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.max|tree_.max_depth,fit_estimators_.classes_.shape,fit_estimators_.n_features_,fit_estimators_.sum|tree_.node_count,fit_estimators_.sum|tree_.leave_count,fit_class_count_.shape,fit_feature_count_.shape,fit_feature_log_prob_.shape,fit_class_log_prior_.shape,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.leave_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.node_count,fit_objective,fit_n_classes,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_intercept_.shape,fit_n_iter_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
skl,200,breast_cancer,-1,XGB-ZM,False,5,1,0.0005222400650382042,0.0005736388266086578,0.0005392424762248992,0.0005222400650382042,0.0005736388266086578,5,0.0005384823307394981,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,200,breast_cancer,-1,XGB-ZM,False,5,1,0.0011854805052280426,0.0013286080211400986,0.0012331200763583184,0.0011854805052280426,0.0013286080211400986,5,0.001214461401104927,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,200,breast_cancer,-1,XGB-ZM,False,5,1,0.001168619841337204,0.0012173047289252281,0.0011881083250045777,0.001168619841337204,0.0012173047289252281,5,0.001180725172162056,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,6.756745278835296e-08,7.951166480779648e-08,5.960464477539063e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,500,breast_cancer,-1,XGB-ZM,False,5,1,0.0026676952838897705,0.0027135275304317474,0.0026831917464733126,0.0026676952838897705,0.0027135275304317474,5,0.002672852948307991,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,500,breast_cancer,-1,XGB-ZM,False,5,1,0.0012119170278310776,0.001300695352256298,0.0012584680691361428,0.0012119170278310776,0.001300695352256298,5,0.0012594712898135185,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,500,breast_cancer,-1,XGB-ZM,False,5,1,0.002993512898683548,0.0032154032960534096,0.003075668774545193,0.002993512898683548,0.0032154032960534096,5,0.0030448641628026962,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,500,breast_cancer,-1,XGB-ZM,False,5,1,0.002963058650493622,0.0030396198853850365,0.0030003027990460397,0.002963058650493622,0.0030396198853850365,5,0.0029865317046642303,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
ort,1000,breast_cancer,-1,XGB-ZM,False,5,1,0.005334669724106789,0.0053687794134020805,0.005349355563521385,0.005334669724106789,0.0053687794134020805,5,0.005346416495740414,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
skl,1000,breast_cancer,-1,XGB-ZM,False,5,1,0.002305770292878151,0.0028179027140140533,0.0026119980961084367,0.002305770292878151,0.0028179027140140533,5,0.0027149980887770653,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrt,1000,breast_cancer,-1,XGB-ZM,False,5,1,0.005968617275357246,0.006187846884131432,0.006042244099080563,0.005968617275357246,0.006187846884131432,5,0.00598915945738554,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
pyrtc,1000,breast_cancer,-1,XGB-ZM,False,5,1,0.005942962132394314,0.006008332595229149,0.005982788465917111,0.005942962132394314,0.006008332595229149,5,0.005984281189739704,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,7.951166480779648e-08,,,2.0,2.0,100.0,,,,,,,,,,,,,,,,,,,,,,binary:logistic,,1170.0,100.0,635.0,2.0,,,,,,,,,,,
