lib,rt,N,dataset,dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,fit_train_score_.shape,fit_validation_score_.shape,fit_n_features_,fit__predictors.size,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit__predictors.max|tree_.max_depth,fit_estimators_.size,fit_estimators_.sum|tree_.node_count,fit_estimators_.max|tree_.max_depth,fit_estimators_.sum|tree_.leave_count,fit_estimators_.n_features_,fit_estimators_.n_classes_,fit_objective,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_n_targets
lgb,ort,1,breast_cancer,-1,10,1,3.127800300717354e-05,9.41460020840168e-05,3.315182402729988e-05,3.806594759225845e-05,4.073828458786011e-05,3.127800300717354e-05,7.653368218640201e-05,10,3.358745016157627e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,2,breast_cancer,-1,10,1,0.00011098012328147888,0.00013119913637638092,0.00011249398812651634,0.00011887494474649429,0.00011644735932350158,0.00011098012328147888,0.00012800693967343762,10,0.0001143116969615221,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,2,breast_cancer,-1,10,1,2.6117078959941864e-05,3.5419128835201263e-05,2.6714056730270386e-05,2.825818955898285e-05,2.8084451332688332e-05,2.6117078959941864e-05,3.329192725585281e-05,10,2.7216505259275436e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,2,breast_cancer,-1,10,1,4.1608233004808426e-05,5.860486999154091e-05,4.2174942791461945e-05,4.543177783489227e-05,4.5007281005382535e-05,4.1608233004808426e-05,5.466366660017475e-05,10,4.308996722102165e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,5,breast_cancer,-1,10,1,0.00012638606131076813,0.00015709968283772469,0.00012917909771203995,0.00013776076957583427,0.00013458733446896075,0.00012638606131076813,0.00015277188856039562,10,0.00013132160529494286,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,5,breast_cancer,-1,10,1,4.435889422893524e-05,5.502905696630478e-05,4.546390846371651e-05,4.719803109765053e-05,4.676193930208683e-05,4.435889422893524e-05,5.253644035656098e-05,10,4.555308260023594e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,5,breast_cancer,-1,10,1,7.075304165482521e-05,8.75815749168396e-05,7.193861529231071e-05,7.332395762205124e-05,7.399087771773339e-05,7.075304165482521e-05,8.322445511426365e-05,10,7.229810580611229e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,10,breast_cancer,-1,10,1,0.00015334086492657661,0.00017848098650574684,0.0001578819938004017,0.00016387412324547768,0.00016096215695142745,0.00015334086492657661,0.00017545275482582293,10,0.0001584447454661131,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,10,breast_cancer,-1,10,1,7.398892194032669e-05,8.466700091958046e-05,7.457984611392021e-05,7.689790800213814e-05,7.656323723495006e-05,7.398892194032669e-05,8.277550859706737e-05,10,7.572607137262821e-05,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,10,breast_cancer,-1,10,1,0.0001171301119029522,0.0001354520209133625,0.00011853687465190887,0.00012145005166530609,0.00012124408967792988,0.0001171301119029522,0.00013143219367937108,10,0.00011907587759196758,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,20,breast_cancer,-1,10,1,0.00020486675202846527,0.00023515289649367332,0.00020778970792889595,0.00021380092948675156,0.0002128256019204855,0.00020486675202846527,0.00023066111275060774,10,0.0002089301124215126,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,20,breast_cancer,-1,10,1,0.00013197911903262138,0.00014463206753134727,0.00013464177027344704,0.0001356326974928379,0.00013571521267294884,0.00013197911903262138,0.0001424244589061991,10,0.00013510137796401978,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,20,breast_cancer,-1,10,1,0.00020936690270900726,0.00022897310554981232,0.00021310104057192802,0.0002173897810280323,0.00021559684537351132,0.00020936690270900726,0.00022629346419188537,10,0.0002141036093235016,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,50,breast_cancer,-1,10,1,0.00035416800528764725,0.0003777029924094677,0.0003551999107003212,0.0003614937886595726,0.00036017238162457945,0.00035416800528764725,0.0003732150742611812,10,0.000359534053131938,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,50,breast_cancer,-1,10,1,0.00030368100851774216,0.0003230990841984749,0.00030724378302693367,0.0003089667297899723,0.00030889655463397505,0.00030368100851774216,0.0003190604085149536,10,0.0003077604342252016,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,50,breast_cancer,-1,10,1,0.0004844050854444504,0.0005102949216961861,0.0004889629781246185,0.0004921304062008858,0.0004918907303363085,0.0004844050854444504,0.0005060424639801567,10,0.0004899199120700359,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,100,breast_cancer,-1,10,1,0.0006048767827451229,0.000630364753305912,0.0006098011508584023,0.0006171343848109245,0.0006131703965365886,0.0006048767827451229,0.0006269124437761293,10,0.0006116654258221388,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,100,breast_cancer,-1,10,1,0.0005926680751144886,0.0006165476515889168,0.0005964231677353382,0.000599241815507412,0.0005990313366055489,0.0005926680751144886,0.0006116465634393195,10,0.0005969617050141096,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,100,breast_cancer,-1,10,1,0.0009485501796007156,0.0010088272392749786,0.000949349720031023,0.0009601041674613953,0.0009605349041521549,0.0009485501796007156,0.0009955610718579667,10,0.0009538484737277031,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,200,breast_cancer,-1,10,1,0.0011013592593371868,0.0011293990537524223,0.0011076778173446655,0.001123615074902773,0.0011145541444420814,0.0011013592593371868,0.0011293990537524223,10,0.001112756785005331,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,200,breast_cancer,-1,10,1,0.0011588162742555141,0.0012100101448595524,0.0011709700338542461,0.0011859000660479069,0.0011799796018749475,0.0011588162742555141,0.0012100101448595524,10,0.001173591474071145,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,200,breast_cancer,-1,10,1,0.0018567382358014584,0.001992950215935707,0.0018823747523128986,0.0019204728305339813,0.0019031472969800235,0.0018567382358014584,0.001986159985151681,10,0.0018903298769146204,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,500,breast_cancer,-1,10,1,0.002588242292404175,0.0026250560767948627,0.0026145102456212044,0.002619239967316389,0.0026130869053304197,0.0025915358189412298,0.0026250560767948627,10,0.002616102574393153,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,500,breast_cancer,-1,10,1,0.002885567955672741,0.002935915719717741,0.0029067639261484146,0.002916220109909773,0.0029094173572957517,0.002885567955672741,0.00293403631870731,10,0.002907264046370983,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,500,breast_cancer,-1,10,1,0.004617316648364067,0.0046853539533913136,0.004631300922483206,0.004656924866139889,0.004644084721803665,0.004617316648364067,0.0046853539533913136,10,0.004636765457689762,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,1000,breast_cancer,-1,10,1,0.0051126121543347836,0.0051940311677753925,0.005123431794345379,0.005160919856280088,0.005142113752663135,0.0051126121543347836,0.005189249617283673,10,0.005140720866620541,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,1000,breast_cancer,-1,10,1,0.005780064966529608,0.005875831935554743,0.005789442919194698,0.005834218114614487,0.005811106506735086,0.005780064966529608,0.005869342811330268,10,0.00580611964687705,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,1000,breast_cancer,-1,10,1,0.009219972416758537,0.009354142006486654,0.009234885685145855,0.009258185978978872,0.009258685074746609,0.009219972416758537,0.00933441565270878,10,0.009246875764802098,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
