method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,1000,100,True,,100,1,0.0006589917466044426,0.0010127420537173748,0.0006605759263038635,0.0007193139754235744,0.000684441770426929,0.0006589917466044426,0.0007526281325208727,100,0.0006814040243625641,1,4.0,12.0,1614.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict_proba,skl,1.0,1000,100,True,,100,1,0.00013427389785647392,0.00025792885571718216,0.00013475120067596436,0.00017769215628504753,0.0001407863572239876,0.00013427389785647392,0.0001690293571191261,100,0.0001370226964354515,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict_proba,onxpython_compiled,,1000,100,True,,100,1,0.0002853088080883026,0.00035972287878394127,0.0002859821543097496,0.00030360789969563484,0.00028950328938663004,0.0002853088080883026,0.00030519312441054983,100,0.0002877421211451292,1,4.0,12.0,1614.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict_proba,onxonnxruntime1,,1000,100,True,,100,1,0.0006185071542859077,0.0008574030362069607,0.0006216177716851234,0.000739281065762043,0.0006531444191932678,0.0006185071542859077,0.0007204158835054927,100,0.0006400474812835455,1,4.0,12.0,1614.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict,py,,1000,100,True,,100,1,5.3762923926115036e-05,0.00011847773566842079,5.489913746714592e-05,9.154621511697769e-05,5.9463325887918474e-05,5.3762923926115036e-05,7.73242980638823e-05,100,5.7156896218657494e-05,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict_proba,py,,1000,100,True,,100,1,0.00010652933269739151,0.0002272631973028183,0.00010740431025624275,0.0001403740607202053,0.00011192169971764087,0.00010652933269739151,0.00013764689957343127,100,0.00010904879309237003,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(69  'predict')'.
predict,skl,1.0,10000,100,True,,100,1,0.0004703137092292309,0.000832701101899147,0.00047085341066122055,0.0005074888467788696,0.0004865948436781764,0.0004703137092292309,0.0005575321870805236,100,0.0004824260249733925,0,,,,
predict,onxpython_compiled,,10000,100,True,,100,1,0.0018170857802033424,0.002141556702554226,0.00181973772123456,0.0020299372263252735,0.0018560117110610007,0.0018170857802033424,0.0019558544487463516,100,0.0018413683865219355,0,4.0,12.0,1614.0,
predict,onxonnxruntime1,,10000,100,True,,100,1,0.00669914809986949,0.007333496585488319,0.006733087822794914,0.007154871243983507,0.006849175575189293,0.00669914809986949,0.0070899166905101976,100,0.0068099715281277895,0,4.0,12.0,1614.0,
predict_proba,skl,1.0,10000,100,True,,100,1,0.0005962778814136982,0.0008538486436009407,0.0006013568490743637,0.0006947629153728485,0.0006211262848228216,0.0005962778814136982,0.00067794350720202,100,0.0006144559010863304,0,,,,
predict_proba,onxpython_compiled,,10000,100,True,,100,1,0.0018006381578743458,0.0023857811465859413,0.0018041660077869892,0.0019623739644885063,0.0018392226006835699,0.0018006381578743458,0.0019795116503071777,100,0.0018227705731987953,0,4.0,12.0,1614.0,
