alpha,fit_prior,method,n_obs,nfeat,time_ort,time_skl
0.0,True,predict_proba,1,10,6.863786000000261e-05,0.00011113454999999384
0.0,True,predict,10,10,5.858751999999967e-05,7.448081000000607e-05
0.0,True,predict_proba,10,10,8.567288000000062e-05,0.00010404716000000037
0.0,False,predict,1,10,8.031191000000604e-05,7.120970999999975e-05
0.0,False,predict_proba,1,10,6.75119400000046e-05,0.000142549789999995
0.0,False,predict,10,10,7.416081999999768e-05,7.03445200000008e-05
0.0,False,predict_proba,10,10,8.755733000000099e-05,0.00012015379000000159
0.5,True,predict,1,10,6.686403999999868e-05,7.689463000000174e-05
0.5,True,predict_proba,1,10,8.5613630000001e-05,0.0001385478200000012
0.5,True,predict,10,10,8.486301000000473e-05,6.578946999999502e-05
0.5,True,predict_proba,10,10,9.157905000000355e-05,0.0001049953000000059
0.5,False,predict,1,10,6.594749000000454e-05,5.194259000000478e-05
0.5,False,predict_proba,1,10,6.662304999999869e-05,0.0001139118299999975
0.5,False,predict,10,10,7.34378499999977e-05,8.055685000000423e-05
0.5,False,predict_proba,10,10,7.627834e-05,0.00015834036000000217
1.0,True,predict,1,10,6.61608299999994e-05,4.872285000000254e-05
1.0,True,predict_proba,1,10,6.859046000000646e-05,0.00015524703999999722
1.0,True,predict,10,10,7.246600000000213e-05,7.0012669999997e-05
1.0,True,predict_proba,10,10,8.951682000000183e-05,0.0001561714799999958
1.0,False,predict,1,10,6.796231000000041e-05,4.855297000000647e-05
1.0,False,predict_proba,1,10,6.934502000000009e-05,0.00010424470000000241
1.0,False,predict,10,10,7.321265999999937e-05,8.096770999999947e-05
1.0,False,predict_proba,10,10,8.472474000000397e-05,0.00011188516999999899
0.0,True,predict,1,20,7.015884000000306e-05,4.884136999999455e-05
0.0,True,predict_proba,1,20,6.819935000000221e-05,0.00010964516999999674
0.0,True,predict,10,20,5.9211709999997806e-05,5.374802000000401e-05
0.0,True,predict_proba,10,20,0.00010502295999999412,0.00011148221000000014
0.0,False,predict,1,20,6.236035000000583e-05,4.92048200000017e-05
0.0,False,predict_proba,1,20,6.814403999999997e-05,0.00011802836000000205
0.0,False,predict,10,20,7.53657500000049e-05,5.484628999999686e-05
0.0,False,predict_proba,10,20,8.604425000000582e-05,0.00011011924000000839
0.5,True,predict,1,20,6.597515000000164e-05,4.852531000000049e-05
