method,lib,skl_nb_base_estimators,N,dim,leaf_size,metric,n_neighbors,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,100,5,10,euclidean,1,,10,1,0.8302395949140191,0.8772457330487669,0.8354504769667983,0.8460114700719714,0.8428121190518141,0.8302395949140191,0.8713190443546237,10,0.8355661840178072,0,22.0,12.0,2102236.0,
predict_proba,skl,1.0,100,5,10,euclidean,1,,10,1,0.002262091264128685,0.003525156993418932,0.0023319278843700886,0.002401217818260193,0.0024736805353313684,0.002262091264128685,0.003169665369891962,10,0.002361806109547615,0,,,,
predict_proba,onxpython_compiled,,100,5,10,euclidean,1,,10,1,3.776213377714157,3.8118791691958904,3.7929542921483517,3.8069694419391453,3.7973320826888086,3.7776579186885475,3.8118791691958904,10,3.7958990780171007,0,22.0,12.0,2102236.0,
predict_proba,onxonnxruntime1,,100,5,10,euclidean,1,,10,1,0.8242891789413989,0.8404988460242748,0.8310313411056995,0.8366672326810658,0.8328121135011315,0.8242891789413989,0.8404988460242748,10,0.831850724061951,0,22.0,12.0,2102236.0,
predict,skl,1.0,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0004795491695404053,0.000781708862632513,0.0004920586943626404,0.0005336147733032703,0.0005379940383136272,0.0004795491695404053,0.0007052347195448328,10,0.0005112690851092339,1,,,,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict,onxpython_compiled,,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0015172339044511318,0.0023881797678768635,0.001696158666163683,0.0022674151696264744,0.00196815631352365,0.0015172339044511318,0.0023881797678768635,10,0.0020384564995765686,1,20.0,12.0,2101835.0,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict,onxonnxruntime1,,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0025116680189967155,0.003222874365746975,0.0026654251851141453,0.0028509176336228848,0.002774687111377716,0.0025116680189967155,0.003154064841997906,10,0.0027130499947816133,1,20.0,12.0,2101835.0,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict_proba,skl,1.0,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0003934190608561039,0.0006180149503052235,0.00041528698056936264,0.0004566130228340626,0.000446635065600276,0.0003934190608561039,0.0005695020894357188,10,0.0004219778347760439,1,,,,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict_proba,onxpython_compiled,,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0015084459446370602,0.002383595332503319,0.00168254179880023,0.002237193752080202,0.0019496153574436903,0.0015084459446370602,0.002383595332503319,10,0.0020336119923740625,1,20.0,12.0,2101835.0,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict_proba,onxonnxruntime1,,1,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0025859689339995384,0.0031841443851590157,0.002840041182935238,0.002968856133520603,0.0028746220283210277,0.0025859689339995384,0.0031743563307668962,10,0.0028620681259781122,1,20.0,12.0,2101835.0,ERROR: Dim (1 )-(1 ) - discrepencies between 'skl' and 'onxonnxruntime1' for '(1  'predict')'.
predict,skl,1.0,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.001059400849044323,0.0015053218230605125,0.0010909438133239746,0.0011583338491618633,0.0011524048633873463,0.001059400849044323,0.0013916967029254765,10,0.0011252351105213165,0,,,,
predict,onxpython_compiled,,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.012664481066167355,0.015460634138435125,0.013884533196687698,0.014963918831199408,0.014266147138550877,0.012688999441198563,0.015460634138435125,10,0.014353883918374777,0,20.0,12.0,2101835.0,
