method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,1.0,1915.0,1000,1,20,10,1,0.00014639482833445072,0.00026596407406032085,0.00014808098785579205,0.00015677697956562042,0.00016253797803074123,0.00014639482833445072,0.00023080808860090517,10,0.0001500054495409131,0,,,
predict,onxpython,,,1000,1,20,10,1,0.001581158023327589,0.012775680050253868,0.003073918865993619,0.010662683984264731,0.005493461177684367,0.001581158023327589,0.012775680050253868,10,0.003080861526541412,0,3.0,11.0,75136.0
predict,onxonnxruntime1,,,1000,1,20,10,1,0.0005155850667506456,0.000689149834215641,0.0005163878668099642,0.0005285050719976425,0.0005377118941396475,0.0005155850667506456,0.0006373861927348958,10,0.0005183934699743986,0,3.0,11.0,75136.0
predict_proba,skl,1.0,1915.0,1000,1,20,10,1,0.00017976388335227966,0.0002670560497790575,0.00018088496290147305,0.00019249692559242249,0.00019271369092166424,0.00017976388335227966,0.00024262044682832212,10,0.00018210953567177057,0,,,
predict_proba,onxpython,,,1000,1,20,10,1,0.005595674971118569,0.018881967989727855,0.0057985379826277494,0.016380690969526768,0.009264186071231962,0.005595674971118569,0.018881967989727855,10,0.005804279935546219,0,3.0,11.0,75136.0
predict_proba,onxonnxruntime1,,,1000,1,20,10,1,0.0009298990480601788,0.012974956072866917,0.0009352599736303091,0.0009518431033939123,0.0021546229952946307,0.0009298990480601788,0.009224321448210868,10,0.0009387833997607231,0,3.0,11.0,75136.0
predict,skl,1.0,13.0,1,5,3,10,1,5.3685158491134644e-05,0.000128219835460186,5.508493632078171e-05,5.889497697353363e-05,6.373787764459848e-05,5.3685158491134644e-05,0.00010628275738030471,10,5.540193524211645e-05,0,,,
predict,onxpython,,,1,5,3,10,1,0.004488202044740319,0.0118863710667938,0.005959611851722002,0.008867917116731405,0.00797503050416708,0.004488202044740319,0.0118863710667938,10,0.008809307008050382,0,3.0,11.0,1225.0
predict,onxonnxruntime1,,,1,5,3,10,1,3.0108029022812843e-05,0.00010616285726428032,3.050500527024269e-05,3.1593022868037224e-05,3.884769976139069e-05,3.0108029022812843e-05,8.297391620811859e-05,10,3.071012906730175e-05,0,3.0,11.0,1225.0
predict_proba,skl,1.0,13.0,1,5,3,10,1,7.067015394568443e-05,0.00456329807639122,7.356586866080761e-05,8.92900861799717e-05,0.0005324343917891383,7.067015394568443e-05,0.00316624532241099,10,7.800396997481585e-05,0,,,
predict_proba,onxpython,,,1,5,3,10,1,0.0043301829136908054,0.015417514136061072,0.004494275897741318,0.011255034944042563,0.007843385240994394,0.0043301829136908054,0.015417514136061072,10,0.006030828575603664,0,3.0,11.0,1225.0
predict_proba,onxonnxruntime1,,,1,5,3,10,1,3.24249267578125e-05,9.84659418463707e-05,3.282795660197735e-05,3.861705772578716e-05,4.131346940994263e-05,3.24249267578125e-05,7.936781846636399e-05,10,3.316137008368969e-05,0,3.0,11.0,1225.0
