method,lib,skl_nb_base_estimators,skl_rf_nodes,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,,10,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.27442854642868e-05,0.00010887347161769867,8.388794958591461e-05,8.567515760660172e-05,8.710175752639771e-05,8.27442854642868e-05,0.0001017244652099211,10,8.437689393758774e-05,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,10,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009017148055136204,0.009429189376533031,0.009050840511918068,0.00908928457647562,0.009097978007048368,0.009017148055136204,0.009327350735538018,10,0.00905741099268198,0,,,,
predict_proba,onxpython_compiled,,,10,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015742024406790733,0.0030150115489959717,0.002935185097157955,0.0030058221891522408,0.002715509943664074,0.001716085500334124,0.0030150115489959717,10,0.002945701591670513,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,10,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.190888911485672e-05,0.00010644085705280304,8.273590356111526e-05,8.472055196762085e-05,8.597485721111298e-05,8.190888911485672e-05,9.982972192042225e-05,10,8.317176252603531e-05,0,1.0,12.0,26399.0,
predict,skl,101.0,700.0,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009482498280704021,0.009800621308386326,0.009526758454740047,0.009572739712893963,0.009566340409219266,0.009482498280704021,0.009736689100534336,10,0.009539191145449877,0,,,,
predict,onxpython_compiled,,,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0018187658861279488,0.0036146603524684906,0.0030048685148358345,0.0031928420066833496,0.0030276930890977384,0.002170031367844448,0.0036146603524684906,10,0.0031440574675798416,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005473894998431206,0.0006071301177144051,0.0005533602088689804,0.0005738250911235809,0.0005626249127089977,0.0005473894998431206,0.0005967353860764719,10,0.0005547902546823025,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009638947434723377,0.010086020454764366,0.009651861153542995,0.009936144575476646,0.009810789115726947,0.009638947434723377,0.010086020454764366,10,0.009820439852774143,0,,,,
predict_proba,onxpython_compiled,,,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.001791093498468399,0.0032234415411949158,0.0030841976404190063,0.003177005797624588,0.0030027909204363825,0.0022014143067858984,0.0032234415411949158,10,0.0031496183946728706,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,100,20,2,1,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005463128909468651,0.0005943318828940392,0.0005542011931538582,0.0005755163729190826,0.0005655484274029732,0.0005463128909468651,0.0005939948912079299,10,0.0005662050098180771,0,1.0,12.0,26399.0,
predict,skl,101.0,694.0,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008923707529902458,0.009282718412578106,0.00894963275641203,0.008961047977209091,0.008995229378342628,0.008923707529902458,0.009200257366649136,10,0.008955288678407669,0,,,,
predict,onxpython_compiled,,,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015346938744187355,0.0029194410890340805,0.0027468837797641754,0.0028296737000346184,0.002676437422633171,0.0019229780334735617,0.0029194410890340805,10,0.002795758191496134,0,1.0,12.0,26180.0,
predict,onxonnxruntime1,,,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.497954457998276e-05,9.285286068916321e-05,3.5567209124565125e-05,3.68291512131691e-05,4.204288125038147e-05,3.497954457998276e-05,7.543814851108534e-05,10,3.590574488043785e-05,0,1.0,12.0,26180.0,
predict_proba,skl,101.0,694.0,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008881931193172932,0.009311099536716938,0.008900463581085205,0.008930514566600323,0.008955776039510966,0.008881931193172932,0.00919273498023994,10,0.008917743805795908,0,,,,
predict_proba,onxpython_compiled,,,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.001531955786049366,0.0029437383636832237,0.002766219899058342,0.002914358861744404,0.0027118521742522717,0.0019282348050617517,0.0029437383636832237,10,0.0028363545425236225,0,1.0,12.0,26180.0,
predict_proba,onxonnxruntime1,,,1,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.382377326488495e-05,5.2522867918014526e-05,3.453809767961502e-05,3.5878270864486694e-05,3.680754452943802e-05,3.382377326488495e-05,4.739535179719523e-05,10,3.4732744097709656e-05,0,1.0,12.0,26180.0,
predict,skl,101.0,694.0,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.00913036335259676,0.00950019434094429,0.009150770492851734,0.009190036915242672,0.00920039862394333,0.00913036335259676,0.009406142572336936,10,0.009165358729660511,0,,,,
predict,onxpython_compiled,,,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015779035165905952,0.003025519661605358,0.0029213717207312584,0.0029689688235521317,0.0028102723881602287,0.0019997053433209195,0.003025519661605358,10,0.0029419828206300735,0,1.0,12.0,26180.0,
predict,onxonnxruntime1,,,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.331239223480225e-05,0.00011437013745307922,8.567329496145248e-05,8.811894804239273e-05,8.91086645424366e-05,8.331239223480225e-05,0.00010602122216817663,10,8.632941171526909e-05,0,1.0,12.0,26180.0,
predict_proba,skl,101.0,694.0,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009136809967458248,0.009549999609589577,0.009163225069642067,0.009240525774657726,0.009237701166421175,0.009136809967458248,0.00950183470379481,10,0.00917836930602789,0,,,,
predict_proba,onxpython_compiled,,,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015690336003899574,0.00440111942589283,0.0028522321954369545,0.0030129449442029,0.0028094048611819744,0.0015690336003899574,0.004285939222647274,10,0.0029045571573078632,0,1.0,12.0,26180.0,
predict_proba,onxonnxruntime1,,,10,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.315872400999069e-05,0.00011408422142267227,8.495524525642395e-05,8.737761527299881e-05,8.868109434843064e-05,8.315872400999069e-05,0.00010566735894743912,10,8.568679913878441e-05,0,1.0,12.0,26180.0,
predict,skl,101.0,694.0,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009825722314417362,0.010057151317596436,0.009862955659627914,0.009892280213534832,0.009890768770128488,0.009825722314417362,0.010013193092645516,10,0.009868577122688293,0,,,,
predict,onxpython_compiled,,,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0017905067652463913,0.003283740021288395,0.003110775724053383,0.003230438567698002,0.0029052254743874074,0.0019419492690636291,0.003283740021288395,10,0.0031523490324616432,0,1.0,12.0,26180.0,
predict,onxonnxruntime1,,,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005539096891880035,0.0006217695772647858,0.0005578231066465378,0.000577184371650219,0.0005700383335351944,0.0005539096891880035,0.000609356471346997,10,0.0005585448816418648,0,1.0,12.0,26180.0,
predict_proba,skl,101.0,694.0,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.00958069134503603,0.010074356570839882,0.009618556126952171,0.009674755856394768,0.009681531693786383,0.00958069134503603,0.009948371717194843,10,0.009635158814489841,0,,,,
predict_proba,onxpython_compiled,,,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0018475232645869255,0.00453521590679884,0.003122570924460888,0.00324191153049469,0.0031550789251923563,0.00196896446177571,0.004341193388609003,10,0.003145583439618349,0,1.0,12.0,26180.0,
predict_proba,onxonnxruntime1,,,100,20,2,10,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005537839606404305,0.0005869632586836815,0.0005578910931944847,0.0005622394382953644,0.000561180617660284,0.0005537839606404305,0.0005789173721019418,10,0.0005586408078670502,0,1.0,12.0,26180.0,
predict,skl,101.0,700.0,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008899282664060593,0.009309186600148678,0.00894840806722641,0.0092275720089674,0.00906306942924857,0.008899282664060593,0.009309186600148678,10,0.009008632507175207,0,,,,
predict,onxpython_compiled,,,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015379609540104866,0.0029426906257867813,0.002772897481918335,0.002843692898750305,0.002634781412780285,0.0017959453122775395,0.0029426906257867813,10,0.002807559911161661,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.4339725971221924e-05,0.00010048132389783859,3.4547410905361176e-05,3.590993583202362e-05,4.18991781771183e-05,3.4339725971221924e-05,8.031729257685494e-05,10,3.4767668694257736e-05,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008889238350093365,0.009335153736174107,0.008928749710321426,0.00905052199959755,0.009003284759819508,0.008889238350093365,0.009255028748320324,10,0.008963108994066715,0,,,,
predict_proba,onxpython_compiled,,,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015525389462709427,0.0028300369158387184,0.0026953592896461487,0.0028136754408478737,0.0025629814714193343,0.0018223335751689704,0.0028300369158387184,10,0.002737445756793022,0,1.0,12.0,26399.0,
