method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxpython,,,1000,20,10,10,1,7.078191265463829e-05,0.0001303129829466343,7.138983346521854e-05,7.253396324813366e-05,7.784743793308735e-05,7.078191265463829e-05,0.00011220784697831881,10,7.161090616136789e-05,0,1.0,11.0,79916.0
predict,onxonnxruntime1,,,1000,20,10,10,1,0.00031244312413036823,0.0003681480884552002,0.0003138801548629999,0.00033944309689104557,0.00032645193859934805,0.00031244312413036823,0.0003615121913781644,10,0.0003140105400234461,0,1.0,11.0,79916.0
predict,skl,1.0,161603.0,1,20,20,10,1,4.85200434923172e-05,0.00012483005411922932,4.9955910071730614e-05,5.489797331392765e-05,5.916401278227568e-05,4.85200434923172e-05,0.00010264148098288687,10,5.041493568569422e-05,0,,,
predict,onxpython,,,1,20,20,10,1,1.823599450290203e-05,9.134714491665363e-05,1.981295645236969e-05,2.003507688641548e-05,2.7245422825217246e-05,1.823599450290203e-05,6.925825579754582e-05,10,1.9858009181916714e-05,0,1.0,11.0,6665826.0
predict,onxonnxruntime1,,,1,20,20,10,1,2.4937093257904053e-05,7.718009874224663e-05,2.5919172912836075e-05,2.694292925298214e-05,3.1675538048148154e-05,2.4937093257904053e-05,6.162616735053735e-05,10,2.6096473447978497e-05,0,1.0,11.0,6665826.0
predict,skl,1.0,161603.0,10,20,20,10,1,5.2819959819316864e-05,7.4055977165699e-05,5.371100269258022e-05,5.8766920119524e-05,5.765636451542378e-05,5.2819959819316864e-05,6.984256045388702e-05,10,5.532894283533096e-05,0,,,
predict,onxpython,,,10,20,20,10,1,2.1243933588266373e-05,7.231300696730614e-05,2.261390909552574e-05,2.429005689918995e-05,2.79812840744853e-05,2.1243933588266373e-05,5.7079119088065134e-05,10,2.277200110256672e-05,0,1.0,11.0,6665826.0
predict,onxonnxruntime1,,,10,20,20,10,1,3.748503513634205e-05,6.070313975214958e-05,4.005292430520058e-05,4.8103975132107735e-05,4.4558802619576456e-05,3.748503513634205e-05,5.73050578537447e-05,10,4.2729428969323635e-05,0,1.0,11.0,6665826.0
predict,skl,1.0,161603.0,100,20,20,10,1,9.258510544896126e-05,0.00012197485193610191,9.585986845195293e-05,0.00010471208952367306,0.00010110421571880579,9.258510544896126e-05,0.0001182022193474872,10,9.789899922907352e-05,0,,,
predict,onxpython,,,100,20,20,10,1,4.7144945710897446e-05,0.00010335096158087254,4.940992221236229e-05,5.4181087762117386e-05,5.624485202133655e-05,4.7144945710897446e-05,8.737302198053281e-05,10,5.107792094349861e-05,0,1.0,11.0,6665826.0
