N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
1,0.0,100,10,True,ort,3.597000613808632e-05,8.52260272949934e-05,4.543503746390343e-05,3.743532346561551e-05,3.6254466976970434e-05,predict,3.597000613808632e-05,3.6007026210427284e-05,13.0,1551.0,100,,4.79041101646094e-05
1,0.0,100,10,True,skl,0.00010895903687924147,0.00015314796473830938,0.00013385294005274773,0.00011351542547345161,0.00010969548020511866,predict_proba,0.00010895903687924147,0.00010902201756834984,,,100,1.0,0.00012913112904267048
1,0.0,100,10,True,ort,3.73210059478879e-05,5.6557939387857914e-05,4.710594657808542e-05,3.8700096774846314e-05,3.7651509046554565e-05,predict_proba,3.73210059478879e-05,3.742508124560118e-05,13.0,1551.0,100,,4.496923130938805e-05
10,0.0,100,10,True,skl,5.611602682620287e-05,7.774995174258947e-05,7.385294884443283e-05,5.7892075274139644e-05,5.6537974160164595e-05,predict,5.611602682620287e-05,5.6184944696724415e-05,,,100,1.0,6.546560177970513e-05
10,0.0,100,10,True,ort,3.8655009120702744e-05,6.359396502375603e-05,5.023798439651728e-05,4.048816510476172e-05,3.900699084624648e-05,predict,3.8655009120702744e-05,3.869703505188227e-05,13.0,1551.0,100,,4.890009362259746e-05
10,0.0,100,10,True,skl,0.0001140169333666563,0.00015059998258948326,0.00014024204574525356,0.00011851734365336597,0.00011487503070384264,predict_proba,0.0001140169333666563,0.00011410994920879602,,,100,1.0,0.00013211909638055706
10,0.0,100,10,True,ort,4.541699308902025e-05,7.932004518806934e-05,5.502102430909872e-05,4.718784941360354e-05,4.576850915327668e-05,predict_proba,4.541699308902025e-05,4.547403659671545e-05,13.0,1551.0,100,,5.597136386689874e-05
1,0.0,100,10,False,skl,5.3819967433810234e-05,0.00010490708518773317,7.216003723442554e-05,5.6546280393376944e-05,5.43864443898201e-05,predict,5.3819967433810234e-05,5.397200584411621e-05,,,100,1.0,6.929370228954033e-05
1,0.0,100,10,False,ort,3.589398693293333e-05,8.520099800080061e-05,5.3574913181364536e-05,3.791274968534708e-05,3.624201053753495e-05,predict,3.589398693293333e-05,3.598595503717661e-05,13.0,1551.0,100,,4.9740863973721485e-05
1,0.0,100,10,False,skl,0.00010909396223723888,0.0001535949995741248,0.00014313403517007828,0.00011428185272961855,0.00011002400424331427,predict_proba,0.00010909396223723888,0.00010933191515505314,,,100,1.0,0.00013164547100817512
