lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.max|tree_.max_depth,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_..n_features_,fit_estimators_..n_classes_,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.sum|tree_.node_count,fit__predictors.sum|tree_.leave_count,fit__predictors.max|tree_.max_depth,fit__fit_X.shape,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
pyrtc,500,boston,-1,ADA,True,5,1,0.0020990222692489624,0.0021432070061564445,0.0021185001358389856,0.0020990222692489624,0.0021432070061564445,5,0.0021112491376698017,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,1000,boston,-1,ADA,True,5,1,0.004980366211384535,0.005276090931147337,0.0050942694768309595,0.004980366211384535,0.005276090931147337,5,0.005053787026554346,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1000,boston,-1,ADA,True,5,1,0.004869544878602028,0.005011074710637331,0.004919871967285871,0.004869544878602028,0.005011074710637331,5,0.004915538243949413,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1000,boston,-1,ADA,True,5,1,0.003856549970805645,0.006549058016389608,0.0044743669219315056,0.003856549970805645,0.006512951630139548,5,0.004024820867925882,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,1000,boston,-1,ADA,True,5,1,0.0035615582019090652,0.0037729893811047077,0.0036357621662318706,0.0035615582019090652,0.0037729893811047077,5,0.003617415204644203,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,2000,boston,-1,ADA,True,5,1,0.0101788230240345,0.01027154503390193,0.010213238187134266,0.0101788230240345,0.01027154503390193,5,0.010198974050581455,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,2000,boston,-1,ADA,True,5,1,0.007134132087230682,0.007421817630529404,0.007230928540229798,0.007134132087230682,0.007421817630529404,5,0.0071947816759347916,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,2000,boston,-1,ADA,True,5,1,0.006738205906003714,0.006909754127264023,0.0067933909595012665,0.006738205906003714,0.006909754127264023,5,0.006772060878574848,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,2000,boston,-1,ADA,True,5,1,0.006519966758787632,0.008385855238884687,0.007321070320904255,0.006519966758787632,0.008385855238884687,5,0.007295907009392977,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,5000,boston,-1,ADA,True,5,1,0.02612442197278142,0.026616990100592375,0.026277018524706364,0.02612442197278142,0.026616990100592375,5,0.026204141322523355,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,5000,boston,-1,ADA,True,5,1,0.014106701593846083,0.014310199301689863,0.014202491100877523,0.014106701593846083,0.014310199301689863,5,0.014198824297636747,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,5000,boston,-1,ADA,True,5,1,0.016050856094807386,0.017177800182253122,0.01649042209610343,0.016050856094807386,0.017177800182253122,5,0.01635209284722805,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,5000,boston,-1,ADA,True,5,1,0.01618000492453575,0.019066983833909035,0.017362665198743344,0.01618000492453575,0.019066983833909035,5,0.016329062171280384,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,10000,boston,-1,ADA,True,5,1,0.052848519291728735,0.05333228409290314,0.05303014824166894,0.052848519291728735,0.05333228409290314,5,0.05298260785639286,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,10000,boston,-1,ADA,True,5,1,0.025780076626688242,0.029229248873889446,0.026593711599707602,0.025780076626688242,0.0291833186335489,5,0.025969489011913538,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,10000,boston,-1,ADA,True,5,1,0.03201729618012905,0.03294566227123141,0.032602306082844736,0.03201729618012905,0.03294566227123141,5,0.03270125901326537,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,10000,boston,-1,ADA,True,5,1,0.0317813865840435,0.033598634880036116,0.032532107271254065,0.0317813865840435,0.033598634880036116,5,0.03217970998957753,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,20000,boston,-1,ADA,True,5,1,0.11057595396414399,0.11706469301134348,0.11292563173919916,0.11057595396414399,0.11706469301134348,5,0.11276559764519334,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,20000,boston,-1,ADA,True,5,1,0.048277768306434155,0.05043150391429663,0.049055155087262395,0.048277768306434155,0.05043150391429663,5,0.04894260922446847,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,20000,boston,-1,ADA,True,5,1,0.06454627215862274,0.06575987301766872,0.06523916050791741,0.06454627215862274,0.06575987301766872,5,0.06554454285651445,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,20000,boston,-1,ADA,True,5,1,0.0673565249890089,0.14778438117355108,0.09069622475653887,0.0673565249890089,0.14778438117355108,5,0.07969291880726814,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,50000,boston,-1,ADA,True,5,1,0.32466418389230967,0.33295103115960956,0.3276180302724242,0.32466418389230967,0.33295103115960956,5,0.3253090581856668,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,50000,boston,-1,ADA,True,5,1,0.12498334003612399,0.12673737900331616,0.12569562811404467,0.12498334003612399,0.12673737900331616,5,0.12535390071570873,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,50000,boston,-1,ADA,True,5,1,0.17087402706965804,0.17657790007069707,0.17256690384820103,0.17087402706965804,0.17657790007069707,5,0.17198179615661502,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,50000,boston,-1,ADA,True,5,1,0.1710864338092506,0.18281954806298018,0.17562155248597264,0.1710864338092506,0.18281954806298018,5,0.173281520139426,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,1,boston,-1,DT,False,5,1,1.4345161616802216e-05,0.0011865990236401558,0.00025132885202765464,1.4345161616802216e-05,0.0011679292525993842,5,1.5808269381523132e-05,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,,,,,,,,,[1],13.0,73.0,37.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1,boston,-1,DT,False,5,1,4.566507413983345e-05,0.00010074581950902939,5.9518683701753614e-05,4.566507413983345e-05,0.00010015352059088335,5,4.927860572934151e-05,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,,,,,,,,,[1],13.0,73.0,37.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1,boston,-1,DT,False,5,1,1.1021271347999573e-05,3.554392606019974e-05,1.6464199870824813e-05,1.1021271347999573e-05,3.522621962901573e-05,5,1.1452939361333847e-05,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,4.875546395055608e-07,8.719308013382943e-07,1.5258789431982223e-07,,,,,,,,,[1],13.0,73.0,37.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
