method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxpython_compiled,,1000,10,10,10,,10,1,0.003029600717127323,0.0033881068229675293,0.0030574332922697067,0.00307356845587492,0.003092313930392265,0.003029600717127323,0.003287622876316609,10,0.003065049182623625,0,1.0,12.0,4540183.0
predict,onxonnxruntime1,,1000,10,10,10,,10,1,0.0127980662509799,0.014975120313465595,0.012836550362408161,0.012939686886966228,0.013107632379978895,0.0127980662509799,0.01434615758629507,10,0.012880075722932816,0,1.0,12.0,4540183.0
predict,skl,2.0,10000,10,10,10,,10,1,0.04934012982994318,0.04978284053504467,0.049365341663360596,0.04939033929258585,0.04941369434818625,0.04934012982994318,0.049659913600779315,10,0.0493786484003067,0,,,
predict,onxpython_compiled,,10000,10,10,10,,10,1,0.029809797182679176,0.030540560372173786,0.029842982068657875,0.029906772077083588,0.029935907293111085,0.029809797182679176,0.03033761108762372,10,0.02988624759018421,0,1.0,12.0,4540183.0
predict,onxonnxruntime1,,10000,10,10,10,,10,1,0.12760602217167616,0.13283670507371426,0.127871660515666,0.12820972502231598,0.12845533844083548,0.12760602217167616,0.1313720924588788,10,0.12794412532821298,0,1.0,12.0,4540183.0
predict,skl,2.0,1,10,10,100,,10,1,0.00012178253382444382,0.0003185886889696121,0.000131865032017231,0.0001400541514158249,0.00015087425708770752,0.00012178253382444382,0.000261129417723522,10,0.00013333279639482498,0,,,
predict,onxpython_compiled,,1,10,10,100,,10,1,2.0411796867847443e-05,0.0017561828717589378,2.4077482521533966e-05,2.6870518922805786e-05,0.00019777854904532433,2.0411796867847443e-05,0.0012159483149855506,10,2.4718698114156723e-05,0,1.0,12.0,4697281.0
predict,onxonnxruntime1,,1,10,10,100,,10,1,5.400925874710083e-05,0.00016330555081367493,6.14682212471962e-05,6.920658051967621e-05,7.300050929188728e-05,5.400925874710083e-05,0.00013288057248657547,10,6.419001147150993e-05,0,1.0,12.0,4697281.0
predict,skl,2.0,10,10,10,100,,10,1,0.0002219388261437416,0.00045791082084178925,0.000232829712331295,0.00024990085512399673,0.0002634873613715172,0.0002219388261437416,0.0003957920403765211,10,0.0002375398762524128,0,,,
predict,onxpython_compiled,,10,10,10,100,,10,1,0.00016387831419706345,0.00030721724033355713,0.0001759631559252739,0.00019701290875673294,0.0001954088918864727,0.00016387831419706345,0.0002741425436422791,10,0.00018250197172164917,0,1.0,12.0,4697281.0
predict,onxonnxruntime1,,10,10,10,100,,10,1,0.0002066316083073616,0.00036584213376045227,0.000218171626329422,0.000272984616458416,0.0002544461749494076,0.0002066316083073616,0.0003519474078859265,10,0.00024186912924051285,0,1.0,12.0,4697281.0
predict,skl,2.0,100,10,10,100,,10,1,0.0007635215297341347,0.0010875258594751358,0.0007713641971349716,0.0008146204054355621,0.0008189490996301174,0.0007635215297341347,0.0010052792512098682,10,0.0007759677246212959,0,,,
predict,onxpython_compiled,,100,10,10,100,,10,1,0.0003273012116551399,0.0005449429154396057,0.0003332430496811867,0.0003614341840147972,0.0003648584708571434,0.0003273012116551399,0.00048713429059675127,10,0.00033888639882206917,0,1.0,12.0,4697281.0
predict,onxonnxruntime1,,100,10,10,100,,10,1,0.0014064693823456764,0.00222758948802948,0.0014277221634984016,0.0015361439436674118,0.0015487548895180225,0.0014064693823456764,0.002010662725016786,10,0.0014566578902304173,0,1.0,12.0,4697281.0
predict,skl,2.0,1000,10,10,100,,10,1,0.00553506426513195,0.006083095446228981,0.005559129640460014,0.005643720738589764,0.005639646854251623,0.00553506426513195,0.0059434434611657875,10,0.005589207634329796,0,,,
predict,onxpython_compiled,,1000,10,10,100,,10,1,0.0030464334413409233,0.003525262698531151,0.00305991992354393,0.0030832840129733086,0.0031130867078900336,0.0030464334413409233,0.0033838217297290727,10,0.00306675024330616,0,1.0,12.0,4697281.0
predict,onxonnxruntime1,,1000,10,10,100,,10,1,0.01340505015105009,0.015491286292672157,0.013450857251882553,0.013738568872213364,0.0137699780985713,0.01340505015105009,0.014942155529004356,10,0.013558914419263601,0,1.0,12.0,4697281.0
predict,skl,2.0,10000,10,10,100,,10,1,0.049696601927280426,0.050593359395861626,0.04977751988917589,0.050270842388272285,0.05002483921125531,0.049696601927280426,0.050593359395861626,10,0.04990478791296482,0,,,
predict,onxpython_compiled,,10000,10,10,100,,10,1,0.030108079314231873,0.030810502357780933,0.030180996283888817,0.0303756445646286,0.030325396079570056,0.030108079314231873,0.030738516351887065,10,0.030272068921476603,0,1.0,12.0,4697281.0
predict,onxonnxruntime1,,10000,10,10,100,,10,1,0.13274270854890347,0.13812712393701077,0.13313488196581602,0.1341059161350131,0.13383138794451951,0.13274270854890347,0.13678707021456804,10,0.13321103295311332,0,1.0,12.0,4697281.0
predict,skl,2.0,1,20,2,1,,10,1,0.00010036677122116089,0.00025426875799894333,0.00010293349623680115,0.00011320505291223526,0.000128936767578125,0.00010036677122116089,0.0002260970370706446,10,0.0001047658734023571,0,,,
predict,onxpython_compiled,,1,20,2,1,,10,1,1.3903714716434479e-05,0.0014675594866275787,1.4130957424640656e-05,1.6820617020130157e-05,0.00021877773106098174,1.3903714716434479e-05,0.001104078425294325,10,1.450907438993454e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1,20,2,1,,10,1,2.8458423912525177e-05,9.073689579963684e-05,2.9295682907104492e-05,3.092922270298004e-05,3.6057364195585254e-05,2.8458423912525177e-05,7.193296299095476e-05,10,2.9509421437978745e-05,0,1.0,12.0,26377.0
predict,skl,2.0,10,20,2,1,,10,1,0.00011368375271558762,0.00018116645514965057,0.00011467467993497849,0.00011780951172113419,0.00012273229658603667,0.00011368375271558762,0.0001613005904345665,10,0.00011554965749382973,0,,,
predict,onxpython_compiled,,10,20,2,1,,10,1,2.8401613235473633e-05,3.741960972547531e-05,2.931058406829834e-05,3.0396506190299988e-05,3.0431803315877916e-05,2.8401613235473633e-05,3.527692909487019e-05,10,2.9771123081445694e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10,20,2,1,,10,1,4.7256238758563995e-05,6.050430238246918e-05,4.8043206334114075e-05,5.0309114158153534e-05,4.993947222828865e-05,4.7256238758563995e-05,5.738283913954084e-05,10,4.8387330025434494e-05,0,1.0,12.0,26377.0
predict,skl,2.0,100,20,2,1,,10,1,0.0002358974888920784,0.0002716192975640297,0.0002367887645959854,0.00023967958986759186,0.0002410254441201687,0.0002358974888920784,0.0002613220187648502,10,0.00023706816136837006,0,,,
predict,onxpython_compiled,,100,20,2,1,,10,1,6.404146552085876e-05,0.0001198798418045044,6.50361180305481e-05,6.548408418893814e-05,7.055727764964104e-05,6.404146552085876e-05,0.00010280128134592699,10,6.519630551338196e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,100,20,2,1,,10,1,0.00024340860545635223,0.00027140136808156967,0.0002445681020617485,0.0002639731392264366,0.0002544679678976536,0.00024340860545635223,0.00027140136808156967,10,0.0002522626891732216,0,1.0,12.0,26377.0
predict,skl,2.0,1000,20,2,1,,10,1,0.001432967372238636,0.0014659790322184563,0.0014392444863915443,0.0014434363692998886,0.0014426887966692448,0.001432967372238636,0.001460296121801963,10,0.001441034022718668,0,,,
predict,onxpython_compiled,,1000,20,2,1,,10,1,0.0005066310986876488,0.0005618548020720482,0.0005076592788100243,0.0005120923742651939,0.0005145289003849029,0.0005066310986876488,0.0005456830352862128,10,0.0005098017863929272,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1000,20,2,1,,10,1,0.002182828262448311,0.002282381057739258,0.00219124648720026,0.002193777821958065,0.0021993686445057393,0.002182828262448311,0.0022541570519322815,10,0.002192190382629633,0,1.0,12.0,26377.0
predict,skl,2.0,10000,20,2,1,,10,1,0.013014034368097782,0.013238213025033474,0.013024886138737202,0.013053168542683125,0.013051905483007432,0.013014034368097782,0.013176479014033175,10,0.013032432179898024,0,,,
predict,onxpython_compiled,,10000,20,2,1,,10,1,0.004942415282130241,0.005023134872317314,0.004945528693497181,0.004967418499290943,0.004959726799279451,0.004942415282130241,0.005006364029874741,10,0.0049480111338198185,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10000,20,2,1,,10,1,0.021609839983284473,0.022200453095138073,0.021618494763970375,0.021638122387230396,0.02168201021850109,0.021609839983284473,0.022021380777893756,10,0.021625046152621508,0,1.0,12.0,26377.0
predict,skl,2.0,1,20,2,10,,10,1,0.00010124500840902328,0.0001844223588705063,0.00010213721543550491,0.00010799895972013474,0.00011239321902394295,0.00010124500840902328,0.00015996727848688276,10,0.00010296795517206192,0,,,
predict,onxpython_compiled,,1,20,2,10,,10,1,1.2955628335475922e-05,6.654113531112671e-05,1.3208016753196716e-05,1.3815239071846008e-05,1.8842332065105438e-05,1.2955628335475922e-05,5.004584588198421e-05,10,1.3265758752822876e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1,20,2,10,,10,1,2.80085951089859e-05,6.522703915834427e-05,2.8627924621105194e-05,2.9870308935642242e-05,3.289263695478439e-05,2.80085951089859e-05,5.420231674309146e-05,10,2.8966926038265228e-05,0,1.0,12.0,26377.0
predict,skl,2.0,10,20,2,10,,10,1,0.00011496804654598236,0.00013900361955165863,0.00011699087917804718,0.0001233816146850586,0.00012117931619286537,0.00011496804654598236,0.0001346432211204023,10,0.00011881813406944275,0,,,
predict,onxpython_compiled,,10,20,2,10,,10,1,2.9321759939193726e-05,3.69315966963768e-05,2.975575625896454e-05,3.033224493265152e-05,3.065336495637894e-05,2.9321759939193726e-05,3.487988935817902e-05,10,2.985401079058647e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10,20,2,10,,10,1,4.6426430344581604e-05,5.953013896942139e-05,4.700012505054474e-05,4.976242780685425e-05,4.931269213557243e-05,4.6426430344581604e-05,5.730084038196539e-05,10,4.745274782180786e-05,0,1.0,12.0,26377.0
predict,skl,2.0,100,20,2,10,,10,1,0.00023314356803894043,0.00026687048375606537,0.00023632682859897614,0.00024046748876571655,0.0002401907928287983,0.00023314356803894043,0.0002583032378480733,10,0.00023675616830587387,0,,,
predict,onxpython_compiled,,100,20,2,10,,10,1,6.323214620351791e-05,0.00012061093002557755,6.392598152160645e-05,6.611179560422897e-05,7.073609158396721e-05,6.323214620351791e-05,0.0001037070457220598,10,6.433436647057533e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,100,20,2,10,,10,1,0.000242745503783226,0.0002710903063416481,0.0002435091882944107,0.00026140641421079636,0.00025297878310084345,0.000242745503783226,0.0002710903063416481,10,0.00025136396288871765,0,1.0,12.0,26377.0
predict,skl,2.0,1000,20,2,10,,10,1,0.001433136872947216,0.0014681611210107803,0.0014370586723089218,0.0014439010992646217,0.0014420446939766407,0.001433136872947216,0.0014604517721524628,10,0.001440534833818674,0,,,
predict,onxpython_compiled,,1000,20,2,10,,10,1,0.0005069728940725327,0.0005658650770783424,0.0005086995661258698,0.0005098525434732437,0.0005149788223206997,0.0005069728940725327,0.0005483817804048864,10,0.000509465578943491,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1000,20,2,10,,10,1,0.002185685560107231,0.002283588983118534,0.0021901801228523254,0.002197599969804287,0.002201466076076031,0.002185685560107231,0.0022558075901485865,10,0.0021934714168310165,0,1.0,12.0,26377.0
predict,skl,2.0,10000,20,2,10,,10,1,0.012977583333849907,0.013221529312431812,0.01300237700343132,0.01302157249301672,0.013026355672627688,0.012977583333849907,0.013157242829918718,10,0.013010862749069929,0,,,
predict,onxpython_compiled,,10000,20,2,10,,10,1,0.00494757667183876,0.00503124576061964,0.004953949712216854,0.004979794844985008,0.004967419616878033,0.00494757667183876,0.00501475534098365,10,0.004956456832587719,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10000,20,2,10,,10,1,0.021641292609274387,0.022086750715970993,0.021654690615832806,0.02168535254895687,0.02170635387301445,0.021641292609274387,0.021956722648045317,10,0.021668309345841408,0,1.0,12.0,26377.0
predict,skl,2.0,1,20,2,100,,10,1,0.00010299030691385269,0.00019479449838399887,0.0001041041687130928,0.00010998360812664032,0.0001156441867351532,0.00010299030691385269,0.00016808304343881613,10,0.0001055360771715641,0,,,
predict,onxpython_compiled,,1,20,2,100,,10,1,1.3058073818683624e-05,7.698871195316315e-05,1.3181008398532867e-05,1.4231540262699127e-05,2.020346000790596e-05,1.3058073818683624e-05,5.735693168284517e-05,10,1.3703946024179459e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1,20,2,100,,10,1,2.7888454496860504e-05,7.171183824539185e-05,2.894829958677292e-05,3.1490810215473175e-05,3.415467217564583e-05,2.7888454496860504e-05,5.9002577546632794e-05,10,2.9656104743480682e-05,0,1.0,12.0,26377.0
predict,skl,2.0,10,20,2,100,,10,1,0.0001160474494099617,0.00014138314872980118,0.00011696293950080872,0.00012146029621362686,0.00012113731354475021,0.0001160474494099617,0.0001358134034246822,10,0.00011806702241301537,0,,,
