method,lib,skl_nb_base_estimators,N,activation,dim,hidden_layer_sizes,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.431527435779572e-05,0.0068283723667263985,6.479490548372269e-05,6.716977804899216e-05,0.0007427074946463108,6.431527435779572e-05,0.004718682783566272,10,6.493600085377693e-05,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00039351824671030045,0.012200402095913887,0.00040614232420921326,0.003999140113592148,0.002859175484627485,0.00039351824671030045,0.010078953172014325,10,0.0004157042130827904,0,,,,
predict_proba,onxpython_compiled,,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0002759648486971855,0.009019527584314346,0.0002792803570628166,0.00044442620128393173,0.0015455027110874652,0.0002759648486971855,0.0068854863018552315,10,0.000288431067019701,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.343424320220947e-05,0.004686411470174789,6.366800516843796e-05,6.471294909715652e-05,0.0005266114138066768,6.343424320220947e-05,0.0032443494402615057,10,6.375042721629143e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.001062667928636074,0.004833271726965904,0.001066635362803936,0.0010722847655415535,0.0015630683861672877,0.001062667928636074,0.0038106582725916244,10,0.0010671201162040234,0,,,,
predict,onxpython_compiled,,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0010866057127714157,0.0017872536554932594,0.0010945582762360573,0.0011243019253015518,0.001219791267067194,0.0010866057127714157,0.001696201656518716,10,0.0010985387489199638,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00016060750931501389,0.0008400361984968185,0.0001653740182518959,0.00017123017460107803,0.00023406753316521645,0.00016060750931501389,0.0006300448059881174,10,0.00016889721155166626,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.001073765568435192,0.0028572194278240204,0.0010838303714990616,0.001097867265343666,0.0012651590630412101,0.001073765568435192,0.0023054993285918125,10,0.001089128665626049,0,,,,
predict_proba,onxpython_compiled,,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.001090039499104023,0.0012045633047819138,0.0010960791260004044,0.0011130459606647491,0.0011126787401735782,0.001090039499104023,0.0011784191306867821,10,0.0010967482812702656,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1000,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00015954859554767609,0.004293963313102722,0.00016014464199543,0.00016233231872320175,0.0005748751573264599,0.00015954859554767609,0.0030046869417087244,10,0.00016069551929831505,0,13.0,12.0,2781.0,
predict,skl,1.0,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00013334304094314575,0.00032301992177963257,0.00013896916061639786,0.0001620817929506302,0.0001652045175433159,0.00013334304094314575,0.00027074903418271984,10,0.0001478102058172226,0,,,,
predict,onxpython_compiled,,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.463991641998291e-05,0.00012271851301193237,7.74068757891655e-05,8.77203419804573e-05,8.54233279824257e-05,7.463991641998291e-05,0.00011257559064083443,10,8.039968088269234e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.722472608089447e-05,0.023926807567477226,7.660593837499619e-05,0.011972128413617611,0.0069609018042683605,6.722472608089447e-05,0.02142684107808847,10,0.005992946680635214,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014192238450050354,0.0001755841076374054,0.00015148334205150604,0.0001728702336549759,0.0001596510410308838,0.00014192238450050354,0.0001755841076374054,10,0.0001626908779144287,0,,,,
predict_proba,onxpython_compiled,,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.705576717853546e-05,0.00011056941002607346,7.959268987178802e-05,9.65707004070282e-05,8.775638416409492e-05,7.705576717853546e-05,0.00010916694647564458,10,8.218316361308098e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.635766476392746e-05,0.004115661606192589,6.753765046596527e-05,7.412489503622055e-05,0.00047528697177767754,6.635766476392746e-05,0.002853684709809787,10,6.98557123541832e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,10,relu,2,"(2, 2)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014315545558929443,0.00018837489187717438,0.00015048496425151825,0.00016082823276519775,0.00015614470466971398,0.00014315545558929443,0.00018040718745519237,10,0.00015440722927451134,0,,,,
