lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.max|tree_.max_depth,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.max|tree_.max_depth,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
pyrt,200,boston,-1,ADA,False,5,1,0.0014157649129629135,0.0014699799939990044,0.001430450100451708,0.0014157649129629135,0.0014697403427073328,5,0.0014208219945430756,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,200,boston,-1,ADA,False,5,1,0.0011159321293234825,0.0011342978104948997,0.0011253825388848782,0.0011159321293234825,0.0011342978104948997,5,0.0011247219517827034,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,500,boston,-1,ADA,False,5,1,0.002451767213642597,0.0026276390999555588,0.0025010835379362106,0.002451767213642597,0.0026267942822164637,5,0.00247352197766304,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,500,boston,-1,ADA,False,5,1,0.0036712619476020336,0.0038707959465682507,0.0037139532156288623,0.0036712619476020336,0.0038677271383583435,5,0.0036761723458766937,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,500,boston,-1,ADA,False,5,1,0.0023171422071754932,0.0023665986955165863,0.0023384910076856614,0.0023171422071754932,0.0023665986955165863,5,0.002330860123038292,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,500,boston,-1,ADA,False,5,1,0.0019890600815415382,0.0020838347263634205,0.0020179721526801587,0.0019890600815415382,0.0020838347263634205,5,0.002005286980420351,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,1000,boston,-1,ADA,False,5,1,0.004823966417461634,0.005227313376963139,0.004979202896356583,0.004823966417461634,0.005227313376963139,5,0.0049536097794771194,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,1000,boston,-1,ADA,False,5,1,0.0047346861101686954,0.005201480817049742,0.00485753258690238,0.0047346861101686954,0.0051967740204527085,5,0.004785398952662945,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,1000,boston,-1,ADA,False,5,1,0.0037144869565963745,0.003740179818123579,0.0037265925668179987,0.0037144869565963745,0.003740179818123579,5,0.0037267147563397884,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,1000,boston,-1,ADA,False,5,1,0.0033957092091441154,0.0034441561438143253,0.0034243864007294177,0.0033957092091441154,0.0034441561438143253,5,0.0034328089095652103,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
