method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,2.0,1,5,10,100,,10,1,0.0019592270255088806,0.0022384258918464184,0.0019786451011896133,0.0019915499724447727,0.0020055803004652263,0.0019592270255088806,0.0021592113282355805,10,0.001983410445973277,0,,,,
predict,onxpython_compiled,,1,5,10,100,,10,1,1.4601275324821472e-05,5.494989454746246e-05,1.5363097190856934e-05,1.8264632672071457e-05,2.0239735022187233e-05,1.4601275324821472e-05,4.325049944268528e-05,10,1.5669967979192734e-05,0,1.0,12.0,424015.0,
predict,onxonnxruntime1,,1,5,10,100,,10,1,3.53069044649601e-05,8.593220263719559e-05,3.5570934414863586e-05,3.8282014429569244e-05,4.1720876470208165e-05,3.53069044649601e-05,7.098967923882014e-05,10,3.580027259886265e-05,0,1.0,12.0,424015.0,
predict,skl,2.0,10,5,10,100,,10,1,0.0017306520603597164,0.0017675450071692467,0.0017386628314852715,0.0017466670833528042,0.0017443969380110502,0.0017306520603597164,0.0017675450071692467,10,0.0017412665765732527,0,,,,
predict,onxpython_compiled,,10,5,10,100,,10,1,7.178401574492455e-05,0.0001065470278263092,7.629906758666039e-05,8.311634883284569e-05,8.061775006353855e-05,7.178401574492455e-05,9.908797218064941e-05,10,7.769977673888206e-05,0,1.0,12.0,424015.0,
predict,onxonnxruntime1,,10,5,10,100,,10,1,9.123701602220535e-05,0.00011533079668879509,9.407801553606987e-05,0.00010075420141220093,9.786281734704971e-05,9.123701602220535e-05,0.00011069550467438965,10,9.621400386095047e-05,0,1.0,12.0,424015.0,
predict,skl,2.0,100,5,10,100,,10,1,0.0018688379786908627,0.0019000698812305927,0.0018808390013873577,0.0018915291875600815,0.0018848191946744918,0.0018688379786908627,0.0019000698812305927,10,0.0018843486905097961,0,,,,
predict,onxpython_compiled,,100,5,10,100,,10,1,0.00015622097998857498,0.00018682004883885384,0.00015916069969534874,0.0001643928699195385,0.0001634130720049143,0.00015622097998857498,0.000180164549705936,10,0.00016048084944486618,0,1.0,12.0,424015.0,
predict,onxonnxruntime1,,100,5,10,100,,10,1,0.0006279493682086468,0.0006799530237913132,0.0006302762776613235,0.000638339202851057,0.000639046123251319,0.0006279493682086468,0.0006690626634467614,10,0.0006327203009277582,0,1.0,12.0,424015.0,
predict,skl,2.0,1000,5,10,100,,10,1,0.003043872769922018,0.0031033549457788467,0.003062963020056486,0.0030683460645377636,0.003066425025463104,0.003043872769922018,0.003099033844143188,10,0.003064540447667241,0,,,,
