lib,method,N,dim,fixed_dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,onnx_proba,5,10,10,25,20,0.0007073879241943359,0.0007674572989344597,0.0007080221548676491,0.000734332948923111,0.0007172825001180172,0.0007073879241943359,0.0007449355373515903,25,0.0007101511582732201,0
ort,ox_cast_input,5,10,10,25,20,0.000801329966634512,0.000869452953338623,0.0008029160089790821,0.0008386201225221157,0.0008179754205048085,0.000801329966634512,0.0008544481133177918,25,0.0008057011291384697,0
ort,ox_mul_result,5,10,10,25,20,0.0007965466938912868,0.0008301837369799614,0.0007983138784766197,0.000823556911200285,0.0008052979223430157,0.0007965466938912868,0.0008263564907874502,25,0.0007996507920324802,0
ort,ox_add_result,5,10,10,25,20,0.0007845191285014153,0.0008454099297523499,0.0007861838676035404,0.0008179889991879463,0.0007978924550116062,0.0007845191285014153,0.0008272688802848915,25,0.0007927771657705307,0
ort,ox_next_activations,5,10,10,25,20,0.000784712377935648,0.000814502127468586,0.0007865717634558678,0.0008096522651612759,0.0007932819612324238,0.000784712377935648,0.000813137485759107,25,0.0007874369621276855,0
ort,ox_mul_result1,5,10,10,25,20,0.0007910989224910736,0.0008198707364499569,0.0007925629615783691,0.0008172579109668732,0.0007998631708323956,0.0007910989224910736,0.0008198707364499569,25,0.0007938421331346035,0
ort,ox_add_result1,5,10,10,25,20,0.0007803179323673248,0.0008455789647996426,0.0007825819775462151,0.0008160020224750042,0.000797397680580616,0.0007803179323673248,0.0008305941113386812,25,0.0007870439440011978,0
ort,ox_next_activations1,5,10,10,25,20,0.0007818345911800861,0.0008229040540754795,0.0007832096889615059,0.0008123037405312061,0.0007924268580973148,0.0007818345911800861,0.0008171947885136317,25,0.0007857480086386204,0
ort,ox_mul_result2,5,10,10,25,20,0.00077836774289608,0.0008302181959152222,0.0007805284112691879,0.0008250079117715359,0.0007917795330286026,0.00077836774289608,0.0008266768866676173,25,0.0007824618369340897,0
ort,ox_add_result2,5,10,10,25,20,0.0007805540226399899,0.0008174581453204155,0.0007812948897480965,0.0008081449195742607,0.0007893858291208744,0.0007805540226399899,0.0008118206264622131,25,0.0007831277325749397,0
