N,count,dim,lib,lower,max,max3,mean,median,min,min3,nbnode,number,repeat,upper
1,20,1,ort,0.00022705784067511559,0.00042367400601506233,0.0002452349290251732,0.00024651458952575924,0.00023598200641572475,0.00022705784067511559,0.0002299952320754528,3,10,20,0.0003285078381260312
1,20,1,npy,8.989591151475906e-05,0.00011013727635145187,0.00010460196062922478,9.686315897852182e-05,9.602098725736141e-05,8.989591151475906e-05,9.271502494812012e-05,3,10,20,0.00010626197693468918
100,20,1,ort,0.00023151282221078873,0.0004099961370229721,0.00024891411885619164,0.00024902259465306995,0.00024102302268147469,0.00023151282221078873,0.00023423181846737862,3,10,20,0.0003223541688823956
100,20,1,npy,4.94588166475296e-05,6.255321204662323e-05,6.106216460466385e-05,5.506761372089386e-05,5.4760370403528214e-05,4.94588166475296e-05,5.090516060590744e-05,3,10,20,6.204492794761891e-05
1000,20,1,ort,0.00025131087750196457,0.0004487810656428337,0.0002795797772705555,0.00027322175446897745,0.00026381690986454487,0.00025131087750196457,0.00025792093947529793,3,10,20,0.00035347039479265125
1000,20,1,npy,6.482796743512154e-05,0.00010446412488818169,7.862085476517677e-05,7.185093127191067e-05,6.929459050297737e-05,6.482796743512154e-05,6.71781599521637e-05,3,10,20,8.834267557327927e-05
10000,20,1,ort,0.00040317513048648834,0.000660180114209652,0.0004306030459702015,0.0004281791625544429,0.0004169023595750332,0.00040317513048648834,0.0004056100733578205,3,10,20,0.0005340073494323504
10000,20,1,npy,0.00015943869948387146,0.00019139796495437622,0.0001844470389187336,0.0001695766346529126,0.00016529369167983532,0.00015943869948387146,0.00016222195699810982,3,10,20,0.00018835432773574344
1,20,1,ort,0.0002459334209561348,0.00043881870806217194,0.0002703811042010784,0.00026956533547490836,0.0002609994262456894,0.0002459334209561348,0.00025253696367144585,5,10,20,0.0003474629099142068
1,20,1,npy,0.0001283572055399418,0.00017585419118404388,0.00015132781118154526,0.00014257302973419428,0.00013957987539470196,0.0001283572055399418,0.0001362161710858345,5,10,20,0.0001622804117384959
100,20,1,ort,0.0002494789659976959,0.0004311497323215008,0.0002797488123178482,0.00027361682150512935,0.00026548723690211773,0.0002494789659976959,0.00025422219187021255,5,10,20,0.00034691127910868515
100,20,1,npy,6.951391696929932e-05,0.00011437572538852692,8.339295163750648e-05,7.869149558246136e-05,7.682363502681255e-05,6.951391696929932e-05,7.454492151737213e-05,5,10,20,9.646640105060293e-05
1000,20,1,ort,0.00028189970180392265,0.00046957796439528465,0.0003102892078459263,0.00030261778738349676,0.0002924229484051466,0.00028189970180392265,0.0002836897037923336,5,10,20,0.0003796504674102913
1000,20,1,npy,9.169382974505424e-05,0.00011498713865876198,0.00010653305798768997,9.971768595278263e-05,9.924406185746193e-05,9.169382974505424e-05,9.283889085054398e-05,5,10,20,0.00011167927231710966
10000,20,1,ort,0.00046759704127907753,0.0006923181936144829,0.0005063130520284176,0.0004963705083355308,0.0004864265210926533,0.00046759704127907753,0.00047336798161268234,5,10,20,0.0005877290267968123
10000,20,1,npy,0.00022226263458105828,0.00026144925504922867,0.0002569560892879963,0.00024279551580548288,0.00024234340526163578,0.00021727802231907845,0.0002353191375732422,5,10,20,0.00026144925504922867
1,20,1,ort,0.0003111879341304302,0.0005022170953452587,0.00033973203971982,0.0003351704915985465,0.00032547698356211185,0.0003111879341304302,0.00032000383362174034,10,10,20,0.00041197748854336755
1,20,1,npy,0.00024965405464172363,0.0002889716997742653,0.00028207898139953613,0.00026644985191524027,0.00026395590975880623,0.00024965405464172363,0.00025854213163256645,10,10,20,0.0002858643063582222
100,20,1,ort,0.00031041400507092476,0.0005143596790730953,0.00034554582089185715,0.00033806988503783943,0.00033005746081471443,0.00031041400507092476,0.0003162529319524765,10,10,20,0.00042052332571952114
100,20,1,npy,0.00012285402044653893,0.00014850031584501266,0.00014210771769285202,0.0001348777674138546,0.00013339309953153133,0.00012285402044653893,0.00013145385310053825,10,10,20,0.00014692548280101903
1000,20,1,ort,0.00035825418308377266,0.0005530752241611481,0.0003879498690366745,0.0003814196679741144,0.00036752643063664436,0.00035825418308377266,0.000363761093467474,10,10,20,0.0004614782738729081
1000,20,1,npy,0.00017463183030486107,0.00022883620113134384,0.00020274287089705467,0.00019181871321052312,0.00018884590826928616,0.00017463183030486107,0.00018220534548163414,10,10,20,0.00021559620053090913
10000,20,1,ort,0.000626077875494957,0.0011006742715835571,0.0006680497899651527,0.0006698917830362916,0.0006468889769166708,0.000626077875494957,0.0006331987679004669,10,10,20,0.0008657923959259711
10000,20,1,npy,0.00039229169487953186,0.00046040304005146027,0.0004477100446820259,0.000423813471570611,0.0004221145063638687,0.00039229169487953186,0.00040272902697324753,10,10,20,0.00046040304005146027
1,20,1,ort,0.0007612300105392933,0.0010665059089660645,0.0008446816354990005,0.000823426921851933,0.0008134706877171993,0.0007612300105392933,0.0007956488989293575,50,10,20,0.0009389010245455784
1,20,1,npy,0.0012492419553881474,0.0013867402449250221,0.001381895039230585,0.001333910529501736,0.001351577928289771,0.0012356936931610107,0.0012813089415431023,50,10,20,0.0013867402449250221
100,20,1,ort,0.0009617581963539124,0.002168891951441765,0.0012865057215094566,0.0011233496945351363,0.001041216542944312,0.0009617581963539124,0.0009938660077750683,50,10,20,0.0016493479555101127
100,20,1,npy,0.0006508737183020942,0.0007220092229545116,0.0007067732512950897,0.0006871795980259776,0.0006848406046628952,0.0006421376019716263,0.0006732731126248837,50,10,20,0.0007220092229545116
