_model,onnxrt_time,onnxrt_std,input_size,original_time,original_std,nb_estimators,nb_onnx_nodes,_tested,onnxruntime,numpy-version,onnx-version,onnxruntime-version,stderr,ratio,ratio_nodes,CPU,CPUI
SklearnBaggingRegressorSGD-Dec4,0.00020993595034815368,5.0163761994910755e-06,152.0,0.0006960946503095329,7.641304797588358e-06,13,22,True,True,1.17.4,1.6.34,1.0.991,,0.3015910986455668,1.6923076923076923,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBatchKMeansInt-Dec4,3.540739417076111e-05,4.016564007887415e-07,624.0,0.00011865549650974573,3.418404902877015e-06,1,8,True,True,1.17.4,1.6.34,1.0.991,,0.29840500619246857,8.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBayesianRidge-Dec4,6.129115563817323e-05,0.00013697888011807098,152.0,5.131387105211615e-05,6.154880454231939e-05,1,1,True,True,1.17.4,1.6.34,1.0.991,,1.1944364044553137,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinBayesianGaussianMixture,4.176091472618282e-05,7.568321102150393e-07,128.0,0.00024204254825599487,2.9331997721569333e-06,1,11,True,True,1.17.4,1.6.34,1.0.991,,0.17253542828352078,11.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinBernoulliNB,0.00040276691410690544,0.0001960283429891345,512.0,0.00016942631406709552,3.475051445776883e-06,1,22,True,True,1.17.4,1.6.34,1.0.991,,2.377239428979157,22.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinBernoulliNBInt,0.000385458336211741,1.974722645764914e-06,912.0,0.00017148459656164051,3.157382512911592e-06,1,23,True,True,1.17.4,1.6.34,1.0.991,,2.2477723593861514,23.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinComplementNB-Dec4,0.00027493111323565237,2.2090436929185924e-06,512.0,0.0001052607640158385,1.9776818848152227e-06,1,12,True,True,1.17.4,1.6.34,1.0.991,,2.611904975288643,12.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinComplementNBInt-Dec4,0.0003054016209207475,2.1071428605856413e-06,912.0,0.00010549246519804,2.0524354900792753e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,2.895008855347346,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinDecisionTreeClassifier,1.7216691980138418e-05,6.49887104087929e-07,120.0,6.317843333818017e-05,1.1667320568648027e-06,1,3,True,True,1.17.4,1.6.34,1.0.991,,0.27250900458359384,3.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinExtraTreeClassifier,1.750068343244493e-05,7.846574098768705e-07,120.0,6.302267732098697e-05,1.2132771497129556e-06,1,3,True,True,1.17.4,1.6.34,1.0.991,,0.27768866979913415,3.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinExtraTreesClassifier,1.7829588614404198e-05,8.694486235050755e-07,120.0,0.00047003322513774034,1.2748165618758227e-05,6,3,True,True,1.17.4,1.6.34,1.0.991,,0.0379326134002109,0.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinGaussianMixture,4.205556074157357e-05,1.102290581469973e-06,128.0,0.000163627902045846,2.2481545072041766e-06,1,11,True,True,1.17.4,1.6.34,1.0.991,,0.2570194949379126,11.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinGaussianNB,0.0003603970285039395,2.3512171314611112e-06,512.0,0.00019852665858343245,3.1257274343146306e-06,1,19,True,True,1.17.4,1.6.34,1.0.991,,1.8153583557770891,19.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
