lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1000,1,200,20,2,0.0035365396179258823,0.003690859768539667,0.0035381820052862167,0.003555281087756157,0.003549704421311617,0.0035365396179258823,0.0036140146800099126,20,0.003541290992870927,0
npy,1000,1,200,20,2,0.0021964688785374165,0.002262589056044817,0.002206937875598669,0.002257763873785734,0.0022262818878516556,0.0021964688785374165,0.002262589056044817,20,0.002220694674178958,0
ort,10000,1,200,20,2,0.03422683198004961,0.03496784809976816,0.034250129014253616,0.034470693208277225,0.0343355510616675,0.03422683198004961,0.03465355232026418,20,0.03427397715859115,0
npy,10000,1,200,20,2,0.008003504015505314,0.008094297256320715,0.008008850738406181,0.008092459756880999,0.008043451514095069,0.008003504015505314,0.008094297256320715,20,0.008036676794290543,0
ort,1,1,250,20,2,0.00017162924632430077,0.00036107469350099564,0.0001719738356769085,0.00017295219004154205,0.00018192760180681943,0.00017162924632430077,0.00026248924160173935,20,0.00017252005636692047,0
npy,1,1,250,20,2,0.001946501899510622,0.0020264191552996635,0.0019704331643879414,0.002009660005569458,0.001986343855969608,0.0019469826096826456,0.0020257051022565704,20,0.001984857954084873,0
ort,10,1,250,20,2,0.00020000291988253593,0.00033190101385116577,0.00020044809207320213,0.00020230794325470924,0.000207612500526011,0.00020000291988253593,0.0002635763842151637,20,0.00020072795450687408,0
npy,10,1,250,20,2,0.0016970019787549973,0.0017576944082975388,0.00170929916203022,0.001746573019772768,0.0017254983773455023,0.0016970019787549973,0.001757439819866783,20,0.0017279174644500017,0
ort,100,1,250,20,2,0.0005825711414217949,0.000728369690477848,0.0005831047892570496,0.00058782659471035,0.000591170322149992,0.0005825711414217949,0.0006529429513933914,20,0.0005834698677062988,0
npy,100,1,250,20,2,0.0017692837864160538,0.001893904060125351,0.001776604913175106,0.0018316302448511124,0.001807206473313272,0.0017692837864160538,0.0018680890165384532,20,0.0018054479733109474,0
ort,1000,1,250,20,2,0.004410114139318466,0.004604069050401449,0.004412190988659859,0.0044315289705991745,0.004427325981669128,0.004410114139318466,0.004508209900046264,20,0.004414832452312112,0
npy,1000,1,250,20,2,0.002748014871031046,0.002809308934956789,0.0027645910158753395,0.0028059491887688637,0.0027830853359773755,0.0027491952453396412,0.002809308934956789,20,0.0027833515778183937,0
ort,10000,1,250,20,2,0.04278993792831898,0.04340654518455267,0.042799829971045256,0.04305222723633051,0.04289010853972286,0.04278993792831898,0.043179761633849165,20,0.04283759533427656,0
npy,10000,1,250,20,2,0.010008790995925665,0.010142104234546423,0.010024337098002434,0.010103772860020399,0.010056868731044232,0.010008790995925665,0.010124266309896702,20,0.010047050658613443,0
ort,1,1,300,20,2,0.00019851280376315117,0.00038876570761203766,0.0001986469142138958,0.00020095333456993103,0.00020979936234652997,0.00019851280376315117,0.0002909347714884676,20,0.00019894842989742756,0
npy,1,1,300,20,2,0.0023224400356411934,0.002397630363702774,0.002341893967241049,0.002383716870099306,0.0023600501008331776,0.0023224400356411934,0.002397630363702774,20,0.002361954189836979,0
ort,10,1,300,20,2,0.00023478223010897636,0.00038872985169291496,0.0002353191375732422,0.0002364329993724823,0.000243517872877419,0.00023478223010897636,0.0003088765863158067,20,0.00023554963991045952,0
npy,10,1,300,20,2,0.0020194342359900475,0.002110765315592289,0.0020523923449218273,0.002101703081279993,0.0020718150306493046,0.0020277049606018376,0.002110765315592289,20,0.0020702281035482883,0
ort,100,1,300,20,2,0.0006933570839464664,0.0008814609609544277,0.0006937701255083084,0.0007184380665421486,0.0007063531782478094,0.0006933570839464664,0.0007863687132965725,20,0.0006944502238184214,0
npy,100,1,300,20,2,0.0020815078169107437,0.002193423919379711,0.0020991009660065174,0.002158425748348236,0.0021257119718939067,0.0020815078169107437,0.0021804466986418834,20,0.002122086938470602,0
ort,1000,1,300,20,2,0.005291871726512909,0.0055139330215752125,0.005293655209243298,0.005387377925217152,0.005334288417361677,0.005291871726512909,0.005443331621131927,20,0.005308734951540828,0
npy,1000,1,300,20,2,0.0033299666829407215,0.0037162001244723797,0.003457904327660799,0.003652778919786215,0.0035688387462869285,0.003382870345589707,0.0037162001244723797,20,0.003593610832467675,0
ort,10000,1,300,20,2,0.05123509932309389,0.05238108616322279,0.05131578724831343,0.05151714524254203,0.051434369874186814,0.05123509932309389,0.0518813622085957,20,0.05139407468959689,0
npy,10000,1,300,20,2,0.011974080000072718,0.012137874960899353,0.012015010230243206,0.012087778653949499,0.012048334232531488,0.011974080000072718,0.012130097188142393,20,0.012059509055688977,0
ort,1,10,1,20,2,2.4676788598299026e-05,6.624078378081322e-05,2.4721957743167877e-05,2.5972723960876465e-05,2.7087400667369366e-05,2.4676788598299026e-05,4.472680674031079e-05,20,2.4893786758184433e-05,0
