n_obs,nfeat,max_depth,method,time_skl,time_ort
10000,10,20,predict,0.0007950450000000586,0.00021288499999997157
10000,10,20,predict_proba,0.0009298450000000002,0.0002114379999999727
100000,10,20,predict,0.008153511000000009,0.0018732130000000068
100000,10,20,predict_proba,0.009265704000000027,0.0017783560000000165
1,20,2,predict,4.281100000000037e-05,1.560099999998954e-05
1,20,2,predict_proba,4.462000000003741e-05,1.4250000000046725e-05
10,20,2,predict,3.304100000001142e-05,1.406799999998043e-05
10,20,2,predict_proba,4.357400000003509e-05,1.3307000000040147e-05
100,20,2,predict,3.273300000003587e-05,3.439000000000192e-05
100,20,2,predict_proba,0.0001073809999999753,3.4469000000001414e-05
1000,20,2,predict,0.00013982200000000944,4.6010999999950286e-05
1000,20,2,predict_proba,0.00020514899999994894,4.650399999995614e-05
10000,20,2,predict,0.0002743440000000419,0.00014320500000003733
10000,20,2,predict_proba,0.00045794999999998254,0.00015910999999995567
100000,20,2,predict,0.0027909819999999996,0.0010145750000000219
100000,20,2,predict_proba,0.004095259000000056,0.0012169099999999845
1,20,5,predict,5.4578999999961294e-05,2.228100000003508e-05
1,20,5,predict_proba,5.490600000001678e-05,1.5090999999998189e-05
10,20,5,predict,4.068099999997798e-05,1.4590000000040958e-05
10,20,5,predict_proba,5.184899999996162e-05,1.5727000000040902e-05
100,20,5,predict,3.9246999999988926e-05,3.4580000000019595e-05
100,20,5,predict_proba,0.00010742800000002717,3.3445999999983654e-05
1000,20,5,predict,0.00015981400000001145,5.014800000004982e-05
1000,20,5,predict_proba,0.0002620199999999784,5.4946999999998524e-05
10000,20,5,predict,0.00036429200000000607,0.00014587900000002208
10000,20,5,predict_proba,0.0004962110000000308,0.00014598200000001782
100000,20,5,predict,0.003682318999999978,0.0011645219999999767
100000,20,5,predict_proba,0.0048872170000000634,0.0011663740000000188
1,20,10,predict,4.922900000011055e-05,1.5872999999970715e-05
1,20,10,predict_proba,4.613500000004933e-05,1.4101000000010799e-05
10,20,10,predict,3.388900000004469e-05,1.4574999999865668e-05
10,20,10,predict_proba,4.515699999998901e-05,1.441400000004478e-05
100,20,10,predict,3.643100000005006e-05,3.601900000006708e-05
100,20,10,predict_proba,0.00011198700000008443,3.486600000002227e-05
1000,20,10,predict,0.00019170000000002575,6.144300000002545e-05
1000,20,10,predict_proba,0.00025707599999989837,6.414599999999383e-05
10000,20,10,predict,0.0005871940000000109,0.00017578499999999054
10000,20,10,predict_proba,0.0007166730000000143,0.00017241200000000845
100000,20,10,predict,0.005811816000000078,0.0016976789999999652
100000,20,10,predict_proba,0.007018727000000098,0.0014128049999999348
1,20,20,predict,4.8120000000011486e-05,1.6667000000012422e-05
1,20,20,predict_proba,4.5400999999998246e-05,1.4645999999913784e-05
10,20,20,predict,3.5964000000063836e-05,1.6324999999994817e-05
10,20,20,predict_proba,4.6208000000120816e-05,1.5816000000086207e-05
100,20,20,predict,4.628299999993146e-05,4.361900000006358e-05
100,20,20,predict_proba,0.00012870900000010012,3.664599999993357e-05
1000,20,20,predict,0.00032197499999995214,8.597699999995711e-05
1000,20,20,predict_proba,0.0003870389999998736,8.396899999993935e-05
10000,20,20,predict,0.0012359379999999475,0.0002680759999999793
10000,20,20,predict_proba,0.0013589910000000316,0.00027068099999993933
100000,20,20,predict,0.01245225185185198,0.002290941975308528
100000,20,20,predict_proba,0.013576408108107977,0.002360343243243175
1,50,2,predict,4.4551000000012666e-05,1.843300000004433e-05
1,50,2,predict_proba,4.431900000000155e-05,1.408600000004867e-05
10,50,2,predict,3.279800000001387e-05,1.4153000000050043e-05
10,50,2,predict_proba,4.4692000000026155e-05,1.4136000000064542e-05
100,50,2,predict,3.5108999999948763e-05,3.9603000000028034e-05
